Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Aaron Jones*,GNB,26,RB,14,14,63,47,74.6%,355,7.6,2,15,30,5.6,3.4,25.4,2
,,,,,,,,,,,,,,,,,
Danny Amendola,DET,35,wr,14,5,69,46,66.7%,602,13.1,0,30,50,8.7,3.3,43.0,0
Dallas Goedert,PHI,25,TE,11,9,65,46,70.8%,524,11.4,3,28,41,8.1,4.2,47.6,0
Austin Hooper,CLE,26,TE,13,13,70,46,65.7%,435,9.5,4,27,36,6.2,3.5,33.5,0
D'Andre Swift,DET,21,,13,4,57,46,80.7%,357,7.8,2,15,26,6.3,3.5,27.5,3
Antonio Brown,TAM,32,,8,4,62,45,72.6%,483,10.7,4,27,46,7.8,5.6,60.4,0
Rob Gronkowski,TAM,31,TE,16,16,77,45,58.4%,623,13.8,7,29,48,8.1,2.8,38.9,1
Demarcus Robinson,KAN,26,WR,16,9,59,45,76.3%,466,10.4,3,26,28,7.9,2.8,29.1,2
Dalvin Cook*,MIN,25,RB,14,14,54,44,81.5%,361,8.2,1,17,50,6.7,3.1,25.8,5
Tyler Higbee,LAR,27,TE,15,15,60,44,73.3%,521,11.8,5,27,44,8.7,2.9,34.7,0
Zach Pascal,IND,26,WR,16,14,71,44,62.0%,629,14.3,5,29,42,8.9,2.8,39.3,0
Gerald Everett,LAR,26,te,16,7,62,41,66.1%,417,10.2,1,24,40,6.7,2.6,26.1,1
Myles Gaskin,MIA,23,RB,10,7,47,41,87.2%,388,9.5,2,12,59,8.3,4.1,38.8,2
Mecole Hardman,KAN,22,wr,16,8,62,41,66.1%,560,13.7,4,23,49,9.0,2.6,35.0,2
Jonnu Smith,TEN,25,TE,15,14,65,41,63.1%,448,10.9,8,25,63,6.9,2.7,29.9,0
Chris Conley,JAX,28,,15,4,63,40,63.5%,471,11.8,2,24,51,7.5,2.7,31.4,1
Michael Pittman Jr.,IND,23,WR,13,8,61,40,65.6%,503,12.6,1,22,45,8.2,3.1,38.7,0
Drew Sample,CIN,24,TE,16,13,53,40,75.5%,349,8.7,1,16,23,6.6,2.5,21.8,1
Michael Thomas,NOR,27,wr,7,5,55,40,72.7%,438,11.0,0,25,24,8.0,5.7,62.6,0
Anthony Firkser,TEN,25,,16,1,53,39,73.6%,387,9.9,1,26,45,7.3,2.4,24.2,0
Randall Cobb,HOU,30,,10,2,48,38,79.2%,441,11.6,3,20,34,9.2,3.8,44.1,0
Travis Fulgham,PHI,25,WR,13,8,67,38,56.7%,539,14.2,4,26,42,8.0,2.9,41.5,0
Kareem Hunt,CLE,25,rb,16,5,51,38,74.5%,304,8.0,5,19,26,6.0,2.4,19.0,2
Devin Singletary,BUF,23,RB,16,16,50,38,76.0%,269,7.1,0,8,34,5.4,2.4,16.8,1
Jordan Akins,HOU,28,te,13,5,49,37,75.5%,403,10.9,1,20,26,8.2,2.8,31.0,0
