Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Category
Malik Turner,SEA,22,,6,0,3,2,66.7%,20,10.0,0,1,19,6.7,0.3,3.3,0,2018,receiving
Hakeem Valles,DET,26,,3,0,3,2,66.7%,11,5.5,0,0,6,3.7,0.7,3.7,0,2018,receiving
Joe Webb,HOU,32,,16,0,3,2,66.7%,13,6.5,0,0,7,4.3,0.1,0.8,0,2018,receiving
Charcandrick West,KAN,27,,3,0,3,2,66.7%,37,18.5,1,2,25,12.3,0.7,12.3,0,2018,receiving
Nick Williams,2TM,28,,4,0,5,2,40.0%,17,8.5,0,0,11,3.4,0.5,4.3,0,2018,receiving
Terrance Williams,DAL,29,,3,2,3,2,66.7%,18,9.0,0,1,12,6.0,0.7,6.0,0,2018,receiving
Alex Armah,CAR,24,,16,2,1,1,100.0%,5,5.0,0,0,5,5.0,0.1,0.3,0,2018,receiving
Kenjon Barner,2TM,29,,9,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.1,0.3,1,2018,receiving
Victor Bolden,2TM,23,,6,0,4,1,25.0%,10,10.0,0,1,10,2.5,0.2,1.7,0,2018,receiving
Tom Brady*,NWE,41,QB,16,16,1,1,100.0%,6,6.0,0,0,6,6.0,0.1,0.4,4,2018,receiving
Drew Brees*,NOR,39,QB,15,15,1,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,5,2018,receiving
Michael Burton,CHI,26,,8,1,1,1,100.0%,6,6.0,0,1,6,6.0,0.1,0.8,0,2018,receiving
Damiere Byrd,CAR,25,,8,0,2,1,50.0%,8,8.0,0,1,8,4.0,0.1,1.0,0,2018,receiving
Travaris Cadet,CAR,29,,1,0,1,1,100.0%,5,5.0,0,0,5,5.0,1.0,5.0,0,2018,receiving
Derek Carr,OAK,27,QB,16,16,1,1,100.0%,-9,-9.0,0,0,-9,-9.0,0.1,-0.6,12,2018,receiving
Jehu Chesson,WAS,25,,12,0,2,1,50.0%,7,7.0,0,1,7,3.5,0.1,0.6,0,2018,receiving
Sammie Coates,HOU,25,,12,0,2,1,50.0%,12,12.0,0,1,12,6.0,0.1,1.0,0,2018,receiving
Kirk Cousins,MIN,30,QB,16,16,1,1,100.0%,-1,-1.0,0,0,-1,-1.0,0.1,-0.1,9,2018,receiving
River Cracraft,DEN,24,,8,0,2,1,50.0%,44,44.0,0,1,44,22.0,0.1,5.5,1,2018,receiving
Dane Cruikshank,TEN,23,,12,0,1,1,100.0%,66,66.0,1,1,66,66.0,0.1,5.5,0,2018,receiving
Sean Culkin,LAC,25,TE,13,10,1,1,100.0%,24,24.0,0,1,24,24.0,0.1,1.8,0,2018,receiving
Benny Cunningham,CHI,28,,15,0,2,1,50.0%,9,9.0,0,1,9,4.5,0.1,0.6,0,2018,receiving
Chase Daniel,CHI,32,,5,2,1,1,100.0%,8,8.0,0,1,8,8.0,0.2,1.6,4,2018,receiving
Dion Dawkins,BUF,24,LT,16,16,1,1,100.0%,7,7.0,1,1,7,7.0,0.1,0.4,0,2018,receiving
Taylor Decker,DET,25,LT,16,16,1,1,100.0%,11,11.0,1,1,11,11.0,0.1,0.7,0,2018,receiving
,,,,,,,,,,,,,,,,,,2018,receiving
Gehrig Dieter,KAN,25,,4,0,3,1,33.3%,22,22.0,0,2,22,7.3,0.3,5.5,0,2018,receiving
George Fant,SEA,26,T,16,7,1,1,100.0%,9,9.0,0,0,9,9.0,0.1,0.6,0,2018,receiving
Matt Flanagan,WAS,23,,3,1,1,1,100.0%,14,14.0,0,1,14,14.0,0.3,4.7,0,2018,receiving
Nick Foles ,PHI,29,qb,5,5,1,1,100.0%,10,10.0,0,1,15,10.0,0.2,2.0,4,2018,receiving
Shelton Gibson,PHI,24,,15,0,3,1,33.3%,48,48.0,0,1,48,16.0,0.1,3.2,0,2018,receiving
Mike Gillislee,NOR,28,,4,0,1,1,100.0%,9,9.0,0,0,9,9.0,0.3,2.3,1,2018,receiving
Justin Hardee,NOR,24,,16,0,1,1,100.0%,10,10.0,0,1,10,10.0,0.1,0.6,0,2018,receiving
Keon Hatcher,OAK,24,,3,0,2,1,50.0%,8,8.0,0,0,8,4.0,0.3,2.7,0,2018,receiving
Ryan Hewitt,IND,27,,12,2,2,1,50.0%,1,1.0,1,1,1,0.5,0.1,0.1,0,2018,receiving
Darrius Heyward-Bey,PIT,31,,14,2,2,1,50.0%,9,9.0,0,0,9,4.5,0.1,0.6,0,2018,receiving
Brian Hill,ATL,23,,10,0,2,1,50.0%,9,9.0,0,0,9,4.5,0.1,0.9,1,2018,receiving
Jeremy Hill,NWE,26,,1,0,1,1,100.0%,6,6.0,0,0,6,6.0,1.0,6.0,0,2018,receiving
JJ Jones,2TM,26,,4,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.3,0.8,2,2018,receiving
Ryan Kelly,IND,25,C,12,12,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,1,2018,receiving
Marcus Kemp,KAN,23,,16,0,2,1,50.0%,7,7.0,0,0,7,3.5,0.1,0.4,0,2018,receiving
Darvin Kidsy,WAS,23,,2,0,2,1,50.0%,8,8.0,0,1,8,4.0,0.5,4.0,0,2018,receiving
Allen Lazard ,GNB,23,,1,0,1,1,100.0%,7,7.0,0,0,7,7.0,1.0,7.0,0,2018,receiving
Khari Lee,BUF,26,,2,0,1,1,100.0%,5,5.0,0,0,5,5.0,0.5,2.5,0,2018,receiving
