Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Darius Leonard+,IND,23,LLB,15,15,2,38,0,28,8,4,1,2,0,0,7.0,163,111,52,12,8,,2018,defense
Leighton Vander Esch*,DAL,22,RLB,16,11,2,56,0,28,7,,,,,,0.0,140,102,38,2,1,,2018,defense
Antoine Bethea,ARI,34,FS,16,16,0,0,0,0,4,1,0,0,0,0,3.0,121,100,21,5,6,,2018,defense
Telvin Smith,JAX,27,LLB,16,16,2,33,1,33,2,1,0,1,5,0,1.0,134,100,34,4,3,,2018,defense
Lavonte David,TAM,28,RLB,14,14,0,0,0,0,2,1,0,2,0,0,3.5,120,94,26,13,7,,2018,defense
Luke Kuechly*+,CAR,27,MLB,16,16,1,0,0,0,6,2,0,1,0,0,2.0,130,93,37,20,5,,2018,defense
Blake Martinez,GNB,24,LILB,16,16,0,0,0,0,3,,,,,,5.0,144,91,53,10,6,,2018,defense
Cory Littleton*,LAR,25,RILB,16,16,3,48,1,22,13,,,,,,4.0,125,90,35,9,4,,2018,defense
Roquan Smith,CHI,21,RILB,16,14,1,22,0,22,5,,,,,,5.0,121,89,32,8,5,,2018,defense
Tahir Whitehead,OAK,28,RLB,16,16,1,0,0,0,5,1,0,0,0,0,0.0,126,89,37,9,1,,2018,defense
Jamal Adams*,NYJ,23,SS,16,16,1,38,0,38,12,3,0,1,5,0,3.5,115,86,29,9,8,,2018,defense
Fred Warner,SFO,22,MLB,16,16,0,0,0,0,6,1,0,1,0,0,0.0,124,85,39,3,2,,2018,defense
Bobby Wagner*+,SEA,28,MLB,15,15,1,98,1,98,11,2,0,1,11,0,1.0,138,84,54,6,8,,2018,defense
John Johnson,LAR,23,SS,16,16,4,46,0,35,11,1,0,0,0,0,0.0,119,82,37,3,2,,2018,defense
Jaylon Smith,DAL,23,MLB,16,16,0,0,0,0,4,2,0,2,69,1,4.0,121,82,39,6,6,,2018,defense
Mason Foster,WAS,29,RILB,16,16,2,4,0,4,4,0,0,1,0,0,1.0,131,81,50,4,1,,2018,defense
Shawn Williams,CIN,27,SS,16,16,5,131,1,58,9,1,0,0,0,0,1.0,110,81,29,2,2,,2018,defense
Ha Ha Clinton-Dix,2TM,26,,16,16,3,25,0,24,6,2,0,2,0,0,1.0,93,80,13,1,2,,2018,defense
Todd Davis,DEN,26,LILB,16,16,1,20,1,20,7,,,,,,0.5,114,80,34,6,5,,2018,defense
Tremaine Edmunds,BUF,20,MLB,15,15,2,19,0,17,12,2,0,0,0,0,2.0,121,80,41,5,7,,2018,defense
Avery Williamson,NYJ,26,RILB,16,16,1,36,0,36,6,2,0,1,0,0,3.0,120,80,40,6,4,,2018,defense
Kiko Alonso,MIA,28,LLB,15,15,3,30,0,15,6,3,0,1,0,0,0.0,125,79,46,3,3,,2018,defense
Malcolm Jenkins*,PHI,31,FS,16,16,1,25,0,25,8,3,0,1,11,0,1.0,97,79,18,6,1,,2018,defense
Budda Baker,ARI,22,SS,14,13,0,0,0,0,1,1,0,2,34,1,2.0,102,78,24,8,3,,2018,defense
Danny Trevathan,CHI,28,LILB,16,16,2,12,0,12,6,1,0,1,0,0,2.0,102,76,26,8,4,,2018,defense
Myles Jack,JAX,23,MLB,16,16,1,32,1,32,1,1,0,1,0,0,2.5,107,75,32,1,4,,2018,defense
Derwin James*+,LAC,22,FS,16,16,3,30,0,23,13,,,,,,3.5,105,75,30,4,6,,2018,defense
Demario Davis,NOR,29,LLB,16,16,0,0,0,0,4,2,0,1,0,0,5.0,110,74,36,11,11,,2018,defense
Jessie Bates III,CIN,21,FS,16,16,3,42,1,21,7,,,,,,0.0,111,73,38,0,0,,2018,defense
,,,,,,,,,,,,,,,,,,,,,,,2018,defense
Jamie Collins,CLE,29,RLB,16,16,1,0,0,0,4,1,0,1,0,0,4.0,104,73,31,13,7,,2018,defense
Zach Cunningham,HOU,24,RILB,14,14,1,38,1,38,5,2,0,1,0,0,0.0,107,73,34,3,2,,2018,defense
Jarrad Davis,DET,24,MLB,16,16,0,0,0,0,5,1,0,1,20,0,6.0,100,73,27,10,10,,2018,defense
Jordan Poyer,BUF,27,FS,16,16,4,11,0,11,6,1,0,1,0,0,2.0,100,73,27,9,3,,2018,defense
Damarious Randall,CLE,26,SS,15,15,4,59,0,50,9,0,0,1,0,0,0.0,85,72,13,2,0,,2018,defense
Justin Simmons,DEN,25,FS,16,16,3,8,0,8,4,,,,,,0.0,97,71,26,0,0,,2018,defense
Kareem Jackson,HOU,30,RCB,16,16,2,24,0,13,17,2,0,1,0,0,1.0,87,70,17,5,1,,2018,defense
Tyrann Mathieu,HOU,26,SS,16,16,2,6,0,6,8,0,0,1,10,0,3.0,89,70,19,5,4,,2018,defense
C.J. Mosley*,BAL,26,LILB,15,15,1,0,0,0,5,,,,,,0.5,105,70,35,6,2,,2018,defense
Justin Reid,HOU,21,FS,16,12,3,128,1,101,10,1,0,2,0,0,0.0,88,70,18,2,1,,2018,defense
Zach Brown,WAS,29,LILB,16,12,0,0,0,0,1,2,0,0,0,0,1.0,96,69,27,10,2,,2018,defense
Raekwon McMillan,MIA,23,MLB,16,16,0,0,0,0,1,2,0,1,0,0,0.0,105,69,36,5,0,,2018,defense
Anthony Walker,IND,23,MLB,15,14,1,11,0,11,4,0,0,1,0,0,1.0,105,69,36,10,2,,2018,defense
Wesley Woodyard,TEN,32,LILB,14,14,0,0,0,0,2,0,0,1,0,0,4.5,113,69,44,5,7,,2018,defense
Nigel Bradham,PHI,29,RLB,15,15,0,0,0,0,4,0,0,1,0,0,2.0,97,67,30,4,4,,2018,defense
Adoree' Jackson,TEN,23,RCB,16,13,2,7,0,7,10,0,3,2,0,0,0.0,73,67,6,2,0,,2018,defense
Harrison Smith*,MIN,29,FS,16,16,3,66,0,52,6,1,0,2,0,0,3.0,84,67,17,9,5,,2018,defense
Tre Boston,ARI,26,db,14,13,3,9,0,9,9,1,0,1,0,0,0.0,79,66,13,1,3,,2018,defense
Bradley McDougald,SEA,28,SS,16,16,3,39,0,39,9,3,0,1,0,0,0.0,78,66,12,4,0,,2018,defense
Adrian Phillips*+,LAC,26,db,16,7,1,0,0,0,9,1,0,0,0,0,0.0,94,65,29,4,1,,2018,defense
Jayon Brown,TEN,23,RILB,16,9,1,22,1,22,6,2,0,1,7,0,6.0,97,64,33,8,10,,2018,defense
Quandre Diggs,DET,25,SS,16,16,3,41,1,37,8,,,,,,0.0,78,64,14,3,1,,2018,defense
Kendall Fuller,KAN,23,LCB,15,15,2,0,0,0,12,1,0,0,0,0,0.0,82,64,18,1,0,,2018,defense
Ron Parker,KAN,31,FS,15,14,2,33,1,33,5,,,,,,1.0,77,64,13,1,1,,2018,defense
Vonn Bell,NOR,24,ss,16,8,0,0,0,0,3,1,0,1,0,0,1.0,89,63,26,4,3,,2018,defense
De'Vondre Campbell,ATL,25,MLB,16,13,,,,,,,,,,,1.5,94,63,31,4,3,,2018,defense
Jeff Heath,DAL,27,SS,16,16,1,49,0,49,5,1,0,0,0,0,0.0,85,63,22,6,0,,2018,defense
Donte Jackson,CAR,23,RCB,16,16,4,0,0,0,9,1,0,0,0,0,1.0,74,63,11,4,1,,2018,defense
Eric Kendricks,MIN,26,MLB,14,14,2,3,0,3,7,1,0,1,0,0,1.0,108,63,45,3,1,,2018,defense
T.J. McDonald,MIA,27,FS,14,14,3,41,0,31,5,0,0,1,0,0,0.0,86,63,23,1,0,,2018,defense
,,,,,,,,,,,,,,,,,,,,,,,2018,defense
Benardrick McKinney*,HOU,26,LILB,16,16,1,0,0,0,7,1,0,0,0,0,1.5,105,63,42,5,5,,2018,defense
Kenny Moore,IND,23,LCB,15,15,3,52,0,32,11,1,0,0,0,0,1.5,77,63,14,4,2,,2018,defense
Curtis Riley,NYG,26,FS,16,16,4,67,1,46,5,,,,,,0.0,75,63,12,0,1,,2018,defense
Eli Apple,2TM,23,,15,15,2,29,0,29,14,1,0,2,2,0,0.0,75,62,13,0,0,,2018,defense
