Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Kevin Byard,TEN,25,FS,16,16,4,1,0,1,8,,,,,,2.0,90,62,28,3,5,,2018,defense
Jalen Ramsey*,JAX,24,LCB,16,16,3,0,0,0,13,,,,,,0.0,65,62,3,2,0,,2018,defense
Nick Vigil,CIN,25,LLB,11,10,0,0,0,0,3,0,0,1,0,0,0.0,84,62,22,5,1,,2018,defense
Jaire Alexander,GNB,21,LCB,13,11,1,27,0,27,11,0,2,2,0,0,0.5,66,61,5,3,1,,2018,defense
Jatavis Brown,LAC,24,LLB,15,10,0,0,0,0,5,1,0,0,0,0,1.0,97,61,36,4,1,,2018,defense
Jordan Hicks,PHI,26,MLB,12,12,0,0,0,0,5,0,0,1,13,0,3.0,91,61,30,5,6,,2018,defense
Malcolm Butler,TEN,28,db,16,11,3,90,1,56,12,1,0,0,0,0,1.0,69,60,9,4,1,,2018,defense
Pierre Desir,IND,28,RCB,16,12,1,1,0,1,8,2,0,1,0,0,0.0,79,60,19,2,0,,2018,defense
Damontae Kazee,ATL,25,SS,16,15,7,54,0,33,10,1,0,0,0,0,0.0,82,60,22,1,0,,2018,defense
Adrian Amos,CHI,25,FS,16,16,2,27,0,26,9,0,0,1,15,0,1.0,73,59,14,2,1,,2018,defense
Sean Davis,PIT,25,FS,15,15,1,27,0,27,7,,,,,,0.0,80,59,21,0,1,,2018,defense
Janoris Jenkins,NYG,30,RCB,16,16,2,29,0,29,15,1,0,0,0,0,0.0,70,59,11,2,0,,2018,defense
Devin McCourty,NWE,31,FS,16,16,1,84,1,84,4,1,0,2,14,0,0.0,82,59,23,1,0,,2018,defense
James Bradberry,CAR,25,LCB,16,16,1,29,0,29,15,1,0,0,0,0,1.0,70,58,12,1,1,,2018,defense
T.J. Carrie,CLE,28,RCB,16,8,1,0,0,0,8,2,0,1,0,0,1.0,74,58,16,3,1,,2018,defense
Lamarcus Joyner,LAR,28,FS,15,15,1,5,0,5,3,0,0,1,0,0,1.0,78,58,20,3,1,,2018,defense
Steven Nelson,KAN,25,RCB,16,16,4,53,0,35,15,,,,,,0.0,68,58,10,2,0,,2018,defense
Alec Ogletree,NYG,27,RILB,13,13,5,61,2,20,8,,,,,,1.0,93,58,35,6,4,,2018,defense
Glover Quin,DET,32,FS,16,16,0,0,0,0,3,,,,,,1.0,74,58,16,1,2,,2018,defense
Prince Amukamara,CHI,29,RCB,15,15,3,58,1,49,12,2,0,0,0,0,0.0,66,57,9,3,0,,2018,defense
Chidobe Awuzie,DAL,23,LCB,15,14,1,0,0,0,11,1,0,0,0,0,0.0,71,57,14,0,0,,2018,defense
Jerome Baker,MIA,22,RLB,16,11,1,25,1,25,3,0,1,0,0,0,3.0,79,57,22,4,4,,2018,defense
Reshad Jones,MIA,30,SS,14,13,3,109,1,54,9,,,,,,0.0,72,57,15,4,1,,2018,defense
Joe Schobert,CLE,25,MLB,13,13,1,0,0,0,6,2,0,2,26,0,3.0,103,57,46,3,6,,2018,defense
Lorenzo Alexander,BUF,35,LLB,16,8,2,9,0,8,9,2,0,1,0,0,6.5,74,55,19,11,10,,2018,defense
Terrell Edmunds,PIT,21,SS,16,15,1,35,0,35,4,0,0,1,0,0,1.0,78,55,23,1,3,,2018,defense
,,,,,,,,,,,,,,,,,,,,,,,2018,defense
Tre Flowers,SEA,23,RCB,15,15,0,0,0,0,6,3,0,2,0,0,0.0,67,55,12,0,0,,2018,defense
Shaquill Griffin,SEA,23,LCB,16,16,2,8,0,8,8,,,,,,0.0,62,55,7,3,0,,2018,defense
Desmond Trufant,ATL,28,RCB,16,16,0,0,0,0,12,,,,,,1.0,66,55,11,1,1,,2018,defense
Kyle Van Noy,NWE,27,MLB,16,16,1,0,0,0,2,1,0,2,46,1,3.5,92,55,37,5,10,,2018,defense
Darqueze Dennard,CIN,27,db,13,9,0,0,0,0,6,2,0,1,0,0,0.0,68,54,14,1,0,,2018,defense
Elijah Lee,SFO,22,rlb,16,5,0,0,0,0,2,1,0,1,0,0,1.0,65,54,11,3,1,,2018,defense
Jason McCourty,NWE,31,LCB,16,12,1,0,0,0,10,1,0,0,0,0,0.0,70,54,16,1,0,,2018,defense
Logan Ryan,TEN,27,LCB,14,14,0,0,0,0,8,,,,,,4.0,76,54,22,4,5,,2018,defense
Eric Weddle*,BAL,33,FS,16,16,0,0,0,0,3,,,,,,1.0,68,54,14,2,4,,2018,defense
Calais Campbell*,JAX,32,RDE,16,16,0,0,0,0,2,1,0,1,0,0,10.5,72,53,19,20,22,,2018,defense
Tony Jefferson,BAL,26,SS,14,14,1,15,0,15,6,1,0,1,0,0,1.0,74,53,21,6,2,,2018,defense
Brian Poole,ATL,26,RLB,16,9,3,2,0,2,6,0,0,2,0,0,3.0,74,53,21,4,5,,2018,defense
Haason Reddick,ARI,24,LLB,16,12,0,0,0,0,5,1,0,0,0,0,4.0,80,53,27,8,6,,2018,defense
Jahleel Addae,LAC,28,SS,16,16,1,19,0,19,3,0,1,1,0,0,1.0,75,52,23,1,1,,2018,defense
Josh Bynes,ARI,29,MLB,11,11,0,0,0,0,5,0,0,1,23,1,2.0,75,52,23,5,3,,2018,defense
Patrick Chung,NWE,31,SS,15,14,1,2,0,2,3,0,0,1,0,0,0.5,84,52,32,1,2,,2018,defense
Damon Harrison,2TM,30,,17,16,0,0,0,0,1,2,0,1,0,0,3.5,81,52,29,9,8,,2018,defense
Rashaan Melvin,OAK,29,lcb,14,7,1,15,0,15,9,,,,,,0.0,56,52,4,1,0,,2018,defense
Matt Milano,BUF,24,RLB,13,13,3,41,0,29,7,0,0,3,0,0,1.0,78,52,26,12,3,,2018,defense
Jabrill Peppers,CLE,23,FS,16,16,1,0,0,0,5,0,2,3,16,0,1.0,79,52,27,5,4,,2018,defense
Buster Skrine,NYJ,29,db,14,11,0,0,0,0,8,1,0,1,0,0,0.5,58,52,6,4,2,,2018,defense
B.W. Webb,NYG,28,LCB,16,13,1,0,0,0,6,1,0,0,0,0,1.0,59,52,7,2,2,,2018,defense
Minkah Fitzpatrick,MIA,22,ss,16,11,2,64,1,50,9,,,,,,0.0,80,51,29,2,0,,2018,defense
Joe Haden,PIT,29,LCB,15,15,2,0,0,0,12,1,0,0,0,0,0.0,63,51,12,2,0,,2018,defense
Danielle Hunter*,MIN,24,LDE,16,16,,,,,,0,0,1,32,1,14.5,72,51,21,21,19,,2018,defense
Shaq Thompson,CAR,24,LLB,14,11,0,0,0,0,1,1,0,0,0,0,3.5,80,51,29,4,6,,2018,defense
Bobby McCain,MIA,25,RCB,14,13,1,0,0,0,5,,,,,,2.0,61,50,11,3,2,,2018,defense
Eric Reid,CAR,27,SS,13,13,1,39,0,39,5,,,,,,1.0,71,50,21,3,1,,2018,defense
T.J. Watt*,PIT,24,LOLB,16,16,0,0,0,0,3,6,0,0,0,0,13.0,68,50,18,12,21,,2018,defense
Vince Williams,PIT,29,RILB,14,14,1,17,1,17,2,,,,,,4.5,76,50,26,8,10,,2018,defense
,,,,,,,,,,,,,,,,,,,,,,,2018,defense
Johnathan Joseph,HOU,34,LCB,14,14,2,46,1,28,13,,,,,,0.0,58,49,9,1,0,,2018,defense
Marshon Lattimore,NOR,22,RCB,16,16,2,0,0,0,12,4,0,3,91,0,0.0,59,49,10,1,0,,2018,defense
Marcus Williams,NOR,22,FS,16,16,2,100,0,78,3,1,0,1,0,0,1.0,59,49,10,0,0,,2018,defense
Rasul Douglas,PHI,24,lcb,16,7,3,14,0,17,4,,,,,,0.0,58,48,10,6,0,,2018,defense
Christian Jones,DET,27,RLB,16,16,0,0,0,0,3,1,0,0,0,0,1.0,69,48,21,3,4,,2018,defense
Jason Pierre-Paul,TAM,29,RDE,16,16,0,0,0,0,2,1,0,1,0,0,12.5,58,48,10,16,20,,2018,defense
Mike Adams ,CAR,37,FS,16,16,3,11,0,18,6,,,,,,0.0,75,47,28,3,1,,2018,defense
Desmond King+,LAC,24,DB,16,8,3,75,1,42,10,1,1,2,0,0,0.0,62,47,15,4,2,,2018,defense
J.J. Watt*+,HOU,29,LDE,16,16,0,0,0,0,4,7,0,0,0,0,16.0,61,47,14,18,25,,2018,defense
Jonathan Bostic,PIT,27,LILB,16,14,0,0,0,0,3,,,,,,2.5,73,46,27,5,4,,2018,defense
A.J. Bouye,JAX,27,RCB,13,13,1,9,0,9,8,,,,,,0.0,54,46,8,0,0,,2018,defense
Thomas Davis,CAR,35,RLB,12,12,0,0,0,0,6,0,0,2,0,0,0.0,79,46,33,3,2,,2018,defense
Reggie Ragland,KAN,25,RILB,16,15,1,67,0,67,1,,,,,,0.5,86,46,40,2,1,,2018,defense
Darian Stewart,DEN,30,SS,14,14,2,3,0,3,3,0,0,1,0,0,1.0,60,46,14,0,2,,2018,defense
Alex Anzalone,NOR,24,mlb,16,7,1,2,0,2,2,3,0,0,0,0,2.0,59,45,14,3,6,,2018,defense
Kyle Fuller*+,CHI,26,LCB,16,16,7,52,0,35,21,,,,,,0.0,55,45,10,0,0,,2018,defense
Patrick Peterson*,ARI,28,LCB,16,16,2,0,0,0,5,0,0,1,49,0,1.0,54,45,9,2,1,,2018,defense
Bradley Roby,DEN,26,LCB,15,15,1,0,0,0,12,2,0,0,0,0,0.0,50,45,5,1,0,,2018,defense
DeForest Buckner*,SFO,24,RDT,16,16,0,0,0,0,3,0,0,1,0,0,12.0,67,44,23,17,20,,2018,defense
Morris Claiborne,NYJ,28,RCB,15,15,2,17,1,17,14,,,,,,0.0,57,44,13,2,0,,2018,defense
Tashaun Gipson,JAX,28,FS,16,16,1,8,0,8,7,,,,,,0.0,54,44,10,1,1,,2018,defense
B.J. Goodson,NYG,25,LILB,15,13,2,8,0,5,4,0,0,1,7,0,0.5,61,44,17,4,3,,2018,defense
Mike Hilton,PIT,24,,15,2,1,0,0,0,8,0,0,2,2,0,1.0,57,44,13,6,5,,2018,defense
Jonathan Jones,NWE,25,db,16,5,3,34,0,28,7,1,0,0,0,0,1.5,56,44,12,1,3,,2018,defense
Tre'Davious White,BUF,23,LCB,16,16,2,37,0,37,8,,,,,,0.0,54,44,10,1,0,,2018,defense
P.J. Williams,NOR,25,MLB,15,7,1,45,1,45,9,2,0,0,0,0,1.0,53,44,9,2,2,,2018,defense
Mark Barron,LAR,29,rilb,12,12,0,0,0,0,1,1,0,0,0,0,1.0,60,43,17,3,1,1,2018,defense
Justin Evans,TAM,23,SS,10,10,1,0,0,0,2,0,0,1,34,1,0.0,59,43,16,1,0,,2018,defense
Corey Graham,PHI,33,SS,13,9,1,29,0,29,5,0,0,1,0,0,0.0,56,43,13,1,0,,2018,defense
Nevin Lawson,DET,27,RCB,15,14,0,0,0,0,5,,,,,,1.0,53,43,10,3,1,,2018,defense
,,,,,,,,,,,,,,,,,,,,,,,2018,defense
Darron Lee,NYJ,24,LILB,12,12,3,82,1,36,5,,,,,,0.0,74,43,31,5,2,,2018,defense
Eric Murray,KAN,24,SS,15,9,1,0,0,0,2,,,,,,0.0,55,43,12,1,1,,2018,defense
Dee Ford*,KAN,27,LOLB,16,16,,,,,,7,0,0,0,0,13.0,55,42,13,13,29,,2018,defense
A.J. Klein,NOR,27,RLB,16,15,1,6,0,6,3,0,0,2,17,0,2.0,70,42,28,7,4,,2018,defense
DeMarcus Lawrence*,DAL,26,LDE,16,15,1,13,0,13,1,2,0,1,5,0,10.5,64,42,22,15,23,,2018,defense
D.J. Swearinger,WAS,27,FS,15,15,4,33,0,22,10,3,0,1,0,0,1.0,53,42,11,0,1,,2018,defense
Bene Benwikere,2TM,27,,15,8,1,21,0,21,4,1,0,0,0,0,0.5,54,41,13,2,1,,2018,defense
Bradley Chubb,DEN,22,LOLB,16,16,0,0,0,0,1,2,0,1,4,0,12.0,60,41,19,14,21,,2018,defense
Justin Coleman,SEA,25,db,16,5,1,0,0,0,10,1,0,2,29,1,0.5,55,41,14,0,1,,2018,defense
Aaron Donald*+,LAR,27,RDT,16,16,0,0,0,0,1,4,0,2,0,0,20.5,59,41,18,25,41,,2018,defense
Casey Hayward,LAC,29,RCB,16,16,0,0,0,0,8,,,,,,0.0,46,41,5,1,0,,2018,defense
Akiem Hicks*,CHI,29,LDE,16,16,0,0,0,0,5,3,0,0,0,0,7.5,55,41,14,12,16,,2018,defense
Micah Hyde,BUF,28,SS,15,15,2,16,0,16,5,0,0,1,9,0,0.0,58,41,17,1,0,,2018,defense
Eddie Jackson*+,CHI,25,SS,14,14,6,81,2,41,15,2,0,1,65,1,1.0,51,41,10,2,1,,2018,defense
Xavier Rhodes,MIN,28,RCB,14,14,1,3,0,3,7,,,,,,0.0,47,41,6,0,0,,2018,defense
Darryl Roberts,NYJ,28,lcb,16,10,1,3,0,3,7,,,,,,0.0,48,41,7,3,0,,2018,defense
Adarius Taylor,TAM,28,MLB,15,10,1,7,0,7,5,1,0,0,0,0,1.0,60,41,19,4,1,,2018,defense
Michael Thomas*,NYG,28,ss,16,6,2,26,0,26,6,1,0,0,0,0,1.0,59,41,18,2,1,,2018,defense
Tedric Thompson,SEA,23,FS,14,10,1,0,0,0,3,1,0,0,0,0,0.0,57,41,16,0,0,,2018,defense
Kenny Vaccaro,TEN,27,SS,13,13,1,0,0,0,4,,,,,,2.0,58,41,17,3,4,,2018,defense
Denzel Ward*,CLE,21,LCB,13,12,3,26,0,26,11,1,0,2,29,0,0.0,53,41,12,5,0,,2018,defense
Kentrell Brice,GNB,24,FS,14,10,0,0,0,0,2,,,,,,1.0,50,40,10,1,0,,2018,defense
Jordan Evans,CIN,23,rlb,14,5,1,7,0,7,3,,,,,,1.5,61,40,21,1,2,,2018,defense
Marcus Gilchrist,OAK,30,SS,16,16,3,2,0,2,6,,,,,,0.0,58,40,18,0,0,,2018,defense
Stephon Gilmore*+,NWE,28,RCB,16,16,2,0,0,0,20,2,0,1,0,0,1.0,45,40,5,1,1,,2018,defense
Chris Harris Jr.*,DEN,29,RCB,12,12,3,68,1,53,10,,,,,,1.0,49,40,9,1,1,,2018,defense
Isaiah Johnson,TAM,26,,15,4,1,6,0,6,2,0,0,1,0,0,0.0,48,40,8,0,0,,2018,defense
Josh Jones,GNB,24,fs,13,5,0,0,0,0,2,,,,,,1.0,55,40,15,2,1,,2018,defense
Josh Norman,WAS,31,RCB,16,16,3,79,0,40,9,3,0,1,0,0,0.0,64,40,24,1,0,,2018,defense
Darius Slay*,DET,27,LCB,15,15,3,107,1,67,17,,,,,,0.0,43,40,3,1,0,,2018,defense
,,,,,,,,,,,,,,,,,,,,,,,2018,defense
Tramon Williams,GNB,35,SS,16,16,0,0,0,0,2,0,3,1,0,0,0.0,54,40,14,0,0,,2018,defense
Kenny Young,BAL,24,,16,3,0,0,0,0,1,1,0,1,0,0,2.5,51,40,11,4,7,,2018,defense
Anthony Barr*,MIN,26,RLB,13,13,0,0,0,0,2,1,0,0,0,0,3.0,55,39,16,8,4,,2018,defense
Bryce Callahan,CHI,27,DB,13,10,2,12,0,12,6,,,,,,2.0,45,39,6,6,5,,2018,defense
Brandon Carr,BAL,32,LCB,16,16,2,26,0,32,11,,,,,,0.0,45,39,6,0,1,,2018,defense
Ronald Darby,PHI,24,RCB,9,9,1,16,0,16,12,,,,,,0.0,43,39,4,1,0,,2018,defense
D.J. Hayden,JAX,28,db,10,6,1,10,0,10,4,,,,,,1.0,46,39,7,2,2,,2018,defense
Josh Jackson,GNB,22,rcb,16,10,0,0,0,0,10,0,1,1,0,0,0.0,49,39,10,1,0,,2018,defense
Anthony Brown,DAL,25,db,15,10,1,1,0,1,8,1,0,0,0,0,2.0,44,38,6,2,3,,2018,defense
Jadeveon Clowney*,HOU,25,ROLB,15,14,0,0,0,0,1,1,0,3,0,1,9.0,47,38,9,16,21,,2018,defense
L.J. Fort,PIT,28,,15,2,,,,,,0,0,1,0,1,1.0,48,38,10,3,3,,2018,defense
Chandler Jones,ARI,28,RDE,16,16,0,0,0,0,4,3,0,1,0,0,13.0,49,38,11,13,18,,2018,defense
Captain Munnerlyn,CAR,30,db,16,5,1,2,0,2,9,0,0,1,0,0,2.0,47,38,9,3,2,,2018,defense
Orlando Scandrick,KAN,31,lcb,15,7,1,0,0,0,13,1,0,0,0,0,0.0,44,38,6,0,0,,2018,defense
Khalil Mack*+,CHI,27,LOLB,14,13,1,27,1,27,4,6,0,2,0,0,12.5,47,37,10,10,18,,2018,defense
Barkevious Mingo,SEA,28,LLB,16,14,0,0,0,0,1,2,0,1,0,0,1.0,48,37,11,3,2,,2018,defense
Fabian Moreau,WAS,24,LCB,16,10,1,16,0,16,5,3,0,0,0,0,0.0,58,37,21,0,0,,2018,defense
Patrick Onwuasor,BAL,26,RILB,16,12,1,33,0,33,3,2,0,0,0,0,5.5,59,37,22,8,12,,2018,defense
Jabaal Sheard,IND,29,LDE,16,16,0,0,0,0,4,,,,,,5.5,50,37,13,14,13,,2018,defense
Mackensie Alexander,MIN,25,db,15,6,0,0,0,0,10,,,,,,4.0,43,36,7,7,5,,2018,defense
Jurrell Casey*,TEN,29,RDE,15,15,,,,,,2,0,1,1,0,7.0,62,36,26,11,11,,2018,defense
Kenny Clark,GNB,23,NT,13,13,0,0,0,0,3,1,0,2,0,0,6.0,55,36,19,8,9,,2018,defense
Carlton Davis,TAM,22,LCB,13,12,0,0,0,0,4,1,0,1,0,0,0.0,40,36,4,1,0,,2018,defense
Erik Harris,OAK,28,,16,4,2,22,0,21,7,,,,,,0.0,49,36,13,2,1,,2018,defense
Linval Joseph,MIN,30,RDT,15,15,,,,,,1,0,1,64,1,1.0,58,36,22,4,4,,2018,defense
Ndamukong Suh,LAR,31,LDT,16,16,0,0,0,0,4,0,0,2,0,0,4.5,59,36,23,4,19,,2018,defense
Jonathan Allen,WAS,23,LDE,16,16,,,,,,,,,,,8.0,61,35,26,11,15,,2018,defense
Quinton Dunbar,WAS,26,lcb,7,6,2,21,0,24,9,,,,,,0.0,39,35,4,0,0,,2018,defense
Myles Garrett*,CLE,23,LDE,16,16,0,0,0,0,3,3,0,0,0,0,13.5,44,35,9,12,29,,2018,defense
Trumaine Johnson,NYJ,28,LCB,10,10,4,38,1,31,5,1,1,1,25,0,0.0,40,35,5,1,0,,2018,defense
,,,,,,,,,,,,,,,,,,,,,,,2018,defense
Chris Jones,KAN,24,RDE,16,11,1,20,1,20,5,2,0,0,0,0,15.5,40,35,5,19,29,,2018,defense
Cameron Jordan*,NOR,29,LDE,16,16,0,0,0,0,6,1,0,1,0,0,12.0,49,35,14,18,21,,2018,defense
Dre Kirkpatrick,CIN,29,LCB,13,13,0,0,0,0,9,,,,,,0.0,41,35,6,2,0,,2018,defense
Daron Payne,WAS,21,NT,16,16,0,0,0,0,3,1,0,1,9,0,5.0,56,35,21,6,8,,2018,defense
Tavon Young,BAL,24,,15,6,1,0,0,0,5,0,0,2,74,2,2.0,37,35,2,5,2,,2018,defense
Kwon Alexander,TAM,24,mlb,6,6,0,0,0,0,2,2,0,0,0,0,1.0,45,34,11,6,2,,2018,defense
Antone Exum,SFO,27,fs,15,7,1,32,1,32,7,1,0,0,0,0,1.0,40,34,6,2,2,,2018,defense
Leonard Floyd,CHI,26,ROLB,16,16,1,19,1,19,4,0,0,1,0,0,4.0,47,34,13,9,11,,2018,defense
Anthony Harris,MIN,27,SS,15,9,3,33,0,33,6,,,,,,0.0,46,34,12,0,1,,2018,defense
Taron Johnson,BUF,22,,11,2,1,0,0,0,3,1,0,0,0,0,1.0,42,34,8,1,1,,2018,defense
Deion Jones,ATL,24,llb,6,6,2,61,1,41,6,1,0,0,0,0,1.0,53,34,19,1,0,,2018,defense
