Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Budda Baker*,ARI,23,FS,16,16,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,2,,2019,defense
Zach Cunningham,HOU,25,RILB,16,16,0,0,0,0,2,0,0,2,24,0,2.0,142,99,43,7,3,,2019,defense
Blake Martinez,GNB,25,IL/LILB,16,16,1,22,0,22,2,1,0,0,0,0,3.0,155,97,58,5,3,,2019,defense
Eric Reid,CAR,28,SS,16,16,0,0,0,0,6,1,0,2,0,0,4.0,130,97,33,7,5,,2019,defense
Jordan Hicks,ARI,27,RILB,16,16,3,64,0,48,6,2,0,1,0,0,1.5,150,93,57,11,7,,2019,defense
Joe Schobert,CLE,26,ML/MLB,16,16,4,24,0,20,9,2,0,1,21,0,2.0,133,89,44,7,4,,2019,defense
Fred Warner,SFO,23,MLB,16,16,1,46,1,46,9,3,0,0,0,0,3.0,118,89,29,7,5,,2019,defense
Demario Davis+,NOR,30,LLB,16,16,1,1,0,1,12,,,,,,4.0,111,87,24,11,9,,2019,defense
Bobby Wagner*+,SEA,29,MLB,16,16,1,6,0,6,6,1,0,1,5,0,3.0,159,86,73,7,4,,2019,defense
Anthony Walker,IND,24,MLB,16,16,1,0,0,0,2,1,0,0,0,0,2.5,124,84,40,6,3,,2019,defense
Jaylon Smith*,DAL,24,MLB,16,16,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,3,,2019,defense
Lavonte David,TAM,29,RILB,16,16,1,26,0,26,7,3,0,1,0,0,1.0,123,82,41,10,7,,2019,defense
Tracy Walker,DET,24,FS,13,12,1,0,0,0,8,1,0,0,0,0,0.0,103,82,21,6,0,,2019,defense
Antoine Bethea,NYG,35,FS,16,16,1,7,0,7,6,0,0,2,0,0,0.0,110,81,29,2,0,,2019,defense
Luke Kuechly*,CAR,28,IL/RILB,16,16,2,26,0,25,12,,,,,,0.0,144,81,63,4,5,1,2019,defense
Shawn Williams,CIN,28,SS,16,15,1,12,0,12,3,,,,,,1.0,114,80,34,5,3,,2019,defense
Landon Collins,WAS,25,SS,15,15,0,0,0,0,4,2,0,0,0,0,1.0,117,78,39,9,3,,2019,defense
Cory Littleton,LAR,26,IL/RILB,16,16,2,32,0,26,9,2,0,4,16,0,3.5,134,78,56,6,5,,2019,defense
Jerome Baker,MIA,23,ROLB,16,15,1,34,0,34,4,2,0,0,0,0,1.5,126,76,50,3,5,,2019,defense
De'Vondre Campbell,ATL,26,LLB,16,15,2,-5,0,0,5,3,0,1,0,0,2.0,129,75,54,6,2,,2019,defense
Shaq Thompson,CAR,25,LILB,14,14,0,0,0,0,3,,,,,,3.0,109,75,34,11,4,,2019,defense
Cole Holcomb,WAS,23,LILB,16,15,0,0,0,0,1,3,0,0,0,0,1.0,105,74,31,6,2,,2019,defense
Logan Ryan,TEN,28,CB/LCB,16,16,4,16,0,16,18,4,0,0,0,0,4.5,113,73,40,4,8,,2019,defense
Devin Bush Jr.,PIT,21,lilb,16,15,2,6,0,6,4,1,0,4,20,1,1.0,109,72,37,9,2,,2019,defense
Kyle Fuller*,CHI,27,LCB,16,16,3,37,0,29,12,,,,,,0.0,82,72,10,1,0,,2019,defense
Jessie Bates III,CIN,22,FS,16,16,3,33,0,20,9,1,0,1,0,0,0.0,100,71,29,0,0,,2019,defense
