Player ID,G,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,RS,PW
gonzs001,34.0,7.0,0.0,0.0,12.0,0.0,66.0,84.0,294.0,9.0,49.0,49.0,14.0,1.0,62.0,1.0,7.0,0.0,5.0,2.0,18.0,3.0,2.0,2.0,4.0,5.0,6.68,4.43,-2.5
gooda001,35.0,12.0,0.0,0.0,5.0,0.0,112.0,121.0,486.0,24.0,70.0,66.0,30.0,3.0,75.0,4.0,6.0,5.0,6.0,0.0,25.0,3.0,6.0,5.0,5.0,4.0,5.3,4.33,-0.6
goodd001,430.0,410.0,68.0,24.0,4.0,3.0,2800.2,2564.0,11705.0,210.0,1198.0,1091.0,954.0,42.0,2293.0,84.0,68.0,76.0,78.0,33.0,446.0,58.0,197.0,156.0,194.0,112.0,3.51,4.84,18.4
goodn001,158.0,1.0,0.0,0.0,39.0,1.0,152.2,134.0,661.0,28.0,77.0,71.0,70.0,5.0,184.0,2.0,4.0,6.0,6.0,0.0,31.0,6.0,10.0,9.0,4.0,8.0,4.19,5.0,-0.3
gordb001,5.0,2.0,0.0,0.0,0.0,0.0,14.1,16.0,62.0,3.0,7.0,7.0,3.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.4,2.5,0.1
gordd001,78.0,0.0,0.0,0.0,30.0,3.0,131.2,150.0,591.0,11.0,89.0,69.0,42.0,7.0,56.0,8.0,8.0,2.0,8.0,4.0,32.0,5.0,11.0,16.0,3.0,8.0,4.72,0,-0.7
gordt001,890.0,203.0,18.0,4.0,347.0,158.0,2108.0,1889.0,9058.0,176.0,1016.0,927.0,977.0,57.0,1928.0,58.0,69.0,112.0,38.0,5.0,339.0,49.0,163.0,118.0,138.0,126.0,3.96,5.0,17.4
gorer001,7.0,4.0,0.0,0.0,2.0,0.0,22.2,24.0,102.0,4.0,19.0,19.0,16.0,1.0,13.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,2.0,2.0,7.54,4.5,-1.0
goric101,7.0,0.0,0.0,0.0,2.0,0.0,10.0,6.0,45.0,0.0,5.0,4.0,9.0,2.0,12.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.6,0,0.0
gormt102,289.0,33.0,5.0,2.0,132.0,44.0,689.1,659.0,2907.0,77.0,332.0,289.0,239.0,25.0,321.0,35.0,16.0,11.0,20.0,2.0,89.0,18.0,75.0,56.0,36.0,36.0,3.77,3.82,0.1
