Player ID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BFW
aggah101,157.0,517.0,65.0,135.0,23.0,9.0,11.0,67.0,57.0,1.0,67.0,0.0,7.0,6.0,0.0,9.0,9.0,8.0,3.0,0.261,0.331,0.404,-1.0
agual001,568.0,1104.0,142.0,260.0,43.0,10.0,37.0,109.0,94.0,12.0,220.0,20.0,14.0,12.0,0.0,13.0,27.0,7.0,5.0,0.236,0.304,0.393,-1.4
aguic001,149.0,230.0,26.0,53.0,13.0,2.0,3.0,16.0,16.0,1.0,61.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,0.23,0.28,0.343,-1.2
aguij001,499.0,1331.0,192.0,345.0,63.0,2.0,71.0,249.0,153.0,4.0,379.0,14.0,0.0,25.0,3.0,13.0,45.0,0.0,1.0,0.259,0.336,0.47,0.7
ahmen001,670.0,2213.0,277.0,528.0,112.0,20.0,60.0,260.0,167.0,11.0,456.0,12.0,11.0,23.0,0.0,33.0,54.0,29.0,18.0,0.239,0.293,0.389,2.9
aikew001,774.0,2492.0,301.0,675.0,125.0,2.0,110.0,415.0,319.0,42.0,444.0,18.0,0.0,27.0,0.0,25.0,87.0,3.0,6.0,0.271,0.354,0.455,2.8
aingd101,211.0,665.0,57.0,146.0,19.0,4.0,2.0,37.0,37.0,2.0,128.0,4.0,12.0,3.0,0.0,5.0,16.0,12.0,5.0,0.22,0.264,0.269,-4.2
albeh001,282.0,925.0,111.0,257.0,41.0,3.0,15.0,82.0,25.0,1.0,118.0,7.0,11.0,5.0,0.0,23.0,18.0,9.0,5.0,0.278,0.3,0.377,0.0
albio001,404.0,1614.0,262.0,450.0,97.0,18.0,60.0,205.0,116.0,6.0,294.0,13.0,2.0,9.0,0.0,22.0,14.0,40.0,9.0,0.279,0.33,0.473,2.3
alcaa001,167.0,428.0,51.0,81.0,15.0,3.0,11.0,39.0,24.0,0.0,150.0,2.0,3.0,2.0,0.0,2.0,6.0,14.0,8.0,0.189,0.235,0.315,-3.4
alcai001,51.0,115.0,15.0,31.0,3.0,0.0,6.0,15.0,6.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.27,0.306,0.452,-0.6
alcal101,115.0,365.0,30.0,70.0,9.0,2.0,4.0,29.0,21.0,2.0,58.0,0.0,2.0,2.0,1.0,4.0,7.0,2.0,2.0,0.192,0.235,0.26,-3.9
aldrc001,13.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.056,0.056,0.167,-0.5
aldrm001,930.0,2147.0,277.0,565.0,104.0,9.0,41.0,271.0,314.0,29.0,381.0,5.0,14.0,18.0,0.0,28.0,43.0,19.0,18.0,0.263,0.356,0.377,-0.9
alexg101,432.0,1276.0,169.0,293.0,45.0,11.0,55.0,202.0,154.0,12.0,381.0,5.0,4.0,19.0,1.0,18.0,34.0,8.0,12.0,0.23,0.311,0.411,-4.2
alexm001,594.0,1271.0,166.0,293.0,50.0,12.0,15.0,115.0,86.0,7.0,276.0,7.0,19.0,4.0,0.0,20.0,17.0,37.0,10.0,0.231,0.282,0.324,-8.3
alexm101,374.0,168.0,111.0,36.0,4.0,2.0,0.0,4.0,18.0,1.0,26.0,1.0,8.0,0.0,0.0,6.0,2.0,103.0,42.0,0.214,0.294,0.262,-1.0
alfaj002,304.0,991.0,103.0,260.0,38.0,3.0,36.0,124.0,48.0,10.0,369.0,31.0,0.0,3.0,0.0,14.0,18.0,9.0,4.0,0.262,0.316,0.416,-0.1
alfoa002,51.0,83.0,11.0,14.0,1.0,1.0,3.0,9.0,4.0,0.0,31.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.169,0.216,0.313,-0.8
alfoe001,1506.0,5385.0,777.0,1532.0,282.0,18.0,146.0,744.0,596.0,22.0,617.0,41.0,31.0,55.0,0.0,78.0,110.0,53.0,17.0,0.284,0.357,0.425,3.1
alfoe002,193.0,591.0,44.0,142.0,24.0,3.0,17.0,67.0,17.0,9.0,158.0,9.0,4.0,3.0,0.0,8.0,17.0,1.0,2.0,0.24,0.271,0.377,-1.7
alicl001,1341.0,3971.0,551.0,1031.0,189.0,53.0,47.0,422.0,500.0,26.0,624.0,48.0,49.0,45.0,1.0,43.0,74.0,81.0,50.0,0.26,0.346,0.369,-2.2
allaa001,512.0,1486.0,145.0,357.0,48.0,4.0,16.0,140.0,87.0,4.0,223.0,9.0,35.0,16.0,1.0,24.0,27.0,23.0,18.0,0.24,0.283,0.31,-6.1
allea001,48.0,96.0,5.0,20.0,5.0,0.0,1.0,6.0,7.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.208,0.262,0.292,-0.9
alleb001,116.0,344.0,44.0,70.0,19.0,2.0,12.0,41.0,42.0,6.0,137.0,1.0,0.0,2.0,0.0,3.0,4.0,3.0,0.0,0.203,0.29,0.375,-2.5
alleb105,1139.0,3404.0,357.0,815.0,140.0,21.0,73.0,352.0,370.0,52.0,424.0,8.0,24.0,17.0,0.0,44.0,60.0,13.0,16.0,0.239,0.314,0.357,0.7
allec001,267.0,851.0,102.0,229.0,44.0,8.0,14.0,84.0,63.0,2.0,173.0,4.0,5.0,5.0,0.0,11.0,23.0,15.0,13.0,0.269,0.321,0.389,-3.2
alled001,27.0,28.0,5.0,7.0,2.0,0.0,2.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.344,0.536,-0.1
alled101,1749.0,6332.0,1099.0,1848.0,320.0,79.0,351.0,1119.0,894.0,138.0,1556.0,16.0,19.0,53.0,1.0,88.0,164.0,133.0,52.0,0.292,0.378,0.534,38.9
alleg001,416.0,1061.0,114.0,235.0,49.0,2.0,19.0,131.0,130.0,3.0,192.0,5.0,15.0,11.0,0.0,18.0,35.0,3.0,7.0,0.221,0.307,0.325,-2.9
alleg002,221.0,557.0,77.0,133.0,22.0,6.0,8.0,57.0,30.0,2.0,129.0,19.0,8.0,4.0,0.0,10.0,8.0,32.0,6.0,0.239,0.298,0.343,-1.6
alleg101,1195.0,3927.0,442.0,999.0,140.0,44.0,55.0,342.0,300.0,62.0,622.0,27.0,56.0,22.0,0.0,75.0,95.0,63.0,30.0,0.254,0.31,0.354,19.1
alleh104,389.0,881.0,104.0,212.0,27.0,9.0,6.0,57.0,49.0,5.0,128.0,2.0,2.0,4.0,0.0,17.0,30.0,15.0,9.0,0.241,0.281,0.312,-5.0
allej001,342.0,1031.0,155.0,268.0,49.0,8.0,15.0,114.0,104.0,1.0,228.0,24.0,21.0,10.0,0.0,22.0,9.0,42.0,20.0,0.26,0.339,0.367,-2.8
allek101,42.0,54.0,10.0,12.0,3.0,0.0,0.0,3.0,8.0,2.0,5.0,1.0,2.0,0.0,0.0,2.0,1.0,12.0,4.0,0.222,0.333,0.278,-0.2
allel001,8.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.111,0.273,0.222,-0.1
aller001,31.0,50.0,8.0,11.0,2.0,0.0,0.0,3.0,2.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.22,0.264,0.26,-0.4
allib103,1541.0,5032.0,811.0,1281.0,216.0,53.0,256.0,796.0,795.0,30.0,1033.0,34.0,25.0,35.0,0.0,88.0,115.0,84.0,50.0,0.255,0.358,0.471,13.7
allrb001,65.0,165.0,19.0,38.0,7.0,0.0,4.0,15.0,29.0,2.0,48.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.23,0.345,0.345,0.2
almoa001,376.0,1038.0,141.0,246.0,58.0,13.0,18.0,97.0,91.0,1.0,269.0,3.0,9.0,10.0,0.0,12.0,26.0,25.0,8.0,0.237,0.298,0.37,-3.1
almoa002,489.0,1224.0,160.0,332.0,63.0,4.0,28.0,134.0,67.0,6.0,227.0,5.0,10.0,10.0,0.0,21.0,33.0,4.0,4.0,0.271,0.309,0.398,-1.9
almob001,1236.0,3330.0,390.0,846.0,138.0,25.0,36.0,296.0,250.0,24.0,636.0,6.0,44.0,29.0,0.0,66.0,53.0,128.0,60.0,0.254,0.305,0.343,-0.7
almoe001,55.0,133.0,18.0,31.0,7.0,0.0,2.0,14.0,8.0,0.0,29.0,1.0,2.0,0.0,0.0,3.0,5.0,3.0,0.0,0.233,0.282,0.331,-1.2
almoz001,47.0,142.0,11.0,30.0,4.0,0.0,2.0,12.0,6.0,0.0,33.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,1.0,0.211,0.242,0.282,-1.1
alomr001,2379.0,9073.0,1508.0,2724.0,504.0,80.0,210.0,1134.0,1032.0,62.0,1140.0,50.0,148.0,97.0,0.0,141.0,206.0,474.0,114.0,0.3,0.371,0.443,35.1
aloms101,1481.0,4760.0,558.0,1168.0,126.0,19.0,13.0,282.0,302.0,17.0,482.0,3.0,77.0,18.0,0.0,94.0,58.0,227.0,80.0,0.245,0.29,0.288,-9.2
alonp001,218.0,805.0,134.0,203.0,36.0,2.0,69.0,155.0,96.0,10.0,244.0,27.0,0.0,4.0,0.0,14.0,17.0,2.0,0.0,0.252,0.35,0.559,2.6
alony001,1072.0,3362.0,391.0,872.0,181.0,2.0,100.0,426.0,366.0,29.0,648.0,16.0,1.0,28.0,0.0,27.0,94.0,22.0,8.0,0.259,0.332,0.404,-6.9
alouf101,2082.0,7339.0,985.0,2101.0,359.0,49.0,206.0,852.0,423.0,67.0,706.0,57.0,33.0,56.0,0.0,142.0,135.0,107.0,67.0,0.286,0.328,0.433,1.7
alouj101,1380.0,4345.0,448.0,1216.0,170.0,26.0,32.0,377.0,138.0,32.0,267.0,30.0,44.0,20.0,0.0,94.0,143.0,31.0,46.0,0.28,0.305,0.353,-16.8
aloum001,1942.0,7037.0,1109.0,2134.0,421.0,39.0,332.0,1287.0,737.0,91.0,894.0,48.0,9.0,82.0,0.0,101.0,195.0,106.0,37.0,0.303,0.369,0.516,18.5
aloum101,1667.0,5789.0,780.0,1777.0,236.0,50.0,31.0,427.0,311.0,38.0,377.0,36.0,55.0,29.0,0.0,111.0,101.0,156.0,80.0,0.307,0.345,0.381,-6.2
alstd101,189.0,332.0,48.0,79.0,7.0,4.0,3.0,35.0,28.0,3.0,44.0,2.0,7.0,5.0,0.0,4.0,4.0,20.0,21.0,0.238,0.297,0.31,-2.5
alstt101,91.0,271.0,30.0,66.0,15.0,2.0,4.0,36.0,25.0,3.0,46.0,2.0,0.0,1.0,0.0,6.0,6.0,3.0,5.0,0.244,0.311,0.358,-0.7
altha001,359.0,1016.0,142.0,222.0,54.0,10.0,37.0,150.0,110.0,4.0,332.0,23.0,1.0,6.0,0.0,15.0,33.0,21.0,10.0,0.219,0.307,0.401,-1.4
altmg101,991.0,3091.0,409.0,832.0,132.0,34.0,101.0,403.0,268.0,38.0,572.0,20.0,19.0,21.0,0.0,58.0,43.0,52.0,22.0,0.269,0.329,0.432,-2.7
altoj101,166.0,257.0,27.0,54.0,8.0,3.0,5.0,28.0,23.0,0.0,42.0,2.0,5.0,3.0,0.0,3.0,3.0,3.0,3.0,0.21,0.277,0.323,-2.3
altuj001,1291.0,5177.0,766.0,1610.0,308.0,28.0,133.0,556.0,377.0,38.0,662.0,50.0,25.0,39.0,0.0,63.0,149.0,256.0,77.0,0.311,0.361,0.458,20.6
alusg101,298.0,652.0,75.0,167.0,31.0,2.0,23.0,93.0,73.0,3.0,103.0,4.0,4.0,4.0,0.0,11.0,16.0,1.0,2.0,0.256,0.333,0.416,-1.0
alvad002,14.0,32.0,3.0,8.0,2.0,0.0,1.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.314,0.406,-0.1
alvag001,92.0,266.0,22.0,59.0,15.0,0.0,7.0,33.0,24.0,1.0,76.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0,4.0,0.222,0.289,0.357,-1.9
alval101,463.0,1160.0,116.0,248.0,43.0,4.0,5.0,84.0,49.0,10.0,160.0,3.0,14.0,5.0,0.0,29.0,27.0,11.0,10.0,0.214,0.247,0.271,-7.6
alvao101,95.0,198.0,20.0,42.0,3.0,0.0,0.0,5.0,16.0,0.0,27.0,0.0,5.0,0.0,0.0,4.0,1.0,1.0,1.0,0.212,0.271,0.227,-1.1
alvao102,25.0,51.0,4.0,8.0,2.0,0.0,2.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.157,0.157,0.314,-0.6
alvap001,910.0,2980.0,365.0,704.0,131.0,6.0,162.0,472.0,314.0,31.0,952.0,11.0,1.0,15.0,0.0,27.0,71.0,15.0,3.0,0.236,0.31,0.447,6.4
alvar101,17.0,37.0,2.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.211,0.189,-0.7
alvat002,38.0,64.0,11.0,16.0,4.0,0.0,2.0,10.0,7.0,0.0,12.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.25,0.324,0.406,-0.3
alvay001,89.0,321.0,60.0,100.0,26.0,0.0,28.0,82.0,52.0,4.0,95.0,3.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.312,0.41,0.654,2.8
alvim101,1013.0,3629.0,421.0,895.0,142.0,22.0,111.0,373.0,262.0,25.0,662.0,35.0,36.0,22.0,0.0,63.0,70.0,43.0,46.0,0.247,0.302,0.39,-11.0
alyeb101,371.0,866.0,100.0,214.0,33.0,2.0,38.0,148.0,100.0,7.0,210.0,6.0,0.0,10.0,0.0,15.0,36.0,5.0,7.0,0.247,0.326,0.421,-0.1
amalj101,643.0,1715.0,248.0,418.0,67.0,19.0,9.0,123.0,185.0,9.0,224.0,12.0,17.0,8.0,1.0,24.0,37.0,19.0,26.0,0.244,0.32,0.321,-3.8
amara001,702.0,1750.0,171.0,404.0,67.0,16.0,21.0,169.0,109.0,13.0,295.0,4.0,23.0,15.0,0.0,21.0,32.0,39.0,10.0,0.231,0.275,0.323,-7.6
amarr001,727.0,1788.0,305.0,493.0,82.0,10.0,11.0,159.0,176.0,1.0,277.0,16.0,29.0,13.0,0.0,25.0,37.0,112.0,39.0,0.276,0.344,0.351,-1.6
amarr101,940.0,2155.0,211.0,505.0,75.0,13.0,8.0,156.0,227.0,24.0,280.0,10.0,47.0,12.0,0.0,34.0,53.0,11.0,14.0,0.234,0.309,0.292,-4.2
ambrc001,80.0,189.0,28.0,44.0,9.0,0.0,4.0,10.0,23.0,1.0,48.0,2.0,3.0,1.0,0.0,6.0,5.0,4.0,2.0,0.233,0.321,0.344,-0.6
amele001,42.0,57.0,7.0,11.0,0.0,0.0,0.0,4.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,2.0,0.193,0.22,0.193,-0.6
ameza001,584.0,1408.0,173.0,348.0,47.0,19.0,12.0,110.0,112.0,7.0,223.0,14.0,28.0,8.0,0.0,15.0,21.0,49.0,26.0,0.247,0.307,0.333,-4.6
amors101,517.0,1311.0,215.0,334.0,55.0,23.0,43.0,180.0,211.0,21.0,189.0,11.0,18.0,7.0,4.0,35.0,23.0,18.0,15.0,0.255,0.361,0.43,-1.5
andeb001,1834.0,6499.0,1062.0,1661.0,338.0,67.0,210.0,761.0,960.0,59.0,1190.0,154.0,74.0,50.0,0.0,67.0,65.0,315.0,100.0,0.256,0.362,0.425,5.9
andeb006,366.0,1333.0,182.0,354.0,81.0,7.0,42.0,177.0,138.0,4.0,337.0,36.0,0.0,7.0,0.0,18.0,36.0,7.0,5.0,0.266,0.349,0.431,1.0
andeb005,40.0,68.0,4.0,15.0,4.0,0.0,0.0,7.0,4.0,0.0,19.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.221,0.276,0.279,-0.4
anded101,149.0,306.0,33.0,62.0,6.0,2.0,1.0,14.0,32.0,2.0,70.0,2.0,2.0,0.0,0.0,7.0,6.0,2.0,2.0,0.203,0.282,0.245,-2.1
andeg001,2228.0,8640.0,1084.0,2529.0,522.0,36.0,287.0,1365.0,429.0,104.0,1224.0,8.0,13.0,87.0,0.0,113.0,197.0,80.0,47.0,0.293,0.324,0.461,-3.2
andeh101,484.0,1586.0,199.0,419.0,82.0,16.0,60.0,242.0,159.0,32.0,291.0,16.0,9.0,15.0,0.0,28.0,29.0,3.0,6.0,0.264,0.334,0.45,0.1
andej001,419.0,970.0,107.0,211.0,35.0,2.0,13.0,86.0,81.0,2.0,130.0,5.0,29.0,6.0,0.0,23.0,23.0,9.0,13.0,0.218,0.28,0.298,-2.1
andej004,179.0,486.0,73.0,132.0,17.0,5.0,4.0,47.0,26.0,2.0,82.0,4.0,2.0,1.0,0.0,6.0,8.0,36.0,7.0,0.272,0.313,0.352,-1.9
andek001,135.0,366.0,43.0,95.0,12.0,2.0,1.0,22.0,30.0,1.0,61.0,2.0,10.0,1.0,0.0,8.0,8.0,1.0,4.0,0.26,0.318,0.311,1.0
andel002,30.0,48.0,7.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.167,0.268,0.188,-0.6
andem101,721.0,1490.0,159.0,367.0,67.0,11.0,28.0,134.0,161.0,25.0,343.0,4.0,7.0,13.0,0.0,15.0,32.0,8.0,12.0,0.246,0.319,0.362,-2.2
andem003,1151.0,3204.0,392.0,849.0,174.0,20.0,63.0,371.0,227.0,28.0,471.0,15.0,31.0,31.0,0.0,48.0,60.0,71.0,24.0,0.265,0.314,0.391,-7.7
andet001,570.0,2270.0,332.0,637.0,119.0,14.0,74.0,227.0,81.0,2.0,587.0,13.0,10.0,8.0,0.0,29.0,59.0,73.0,18.0,0.281,0.308,0.443,1.0
andir001,481.0,1344.0,159.0,313.0,58.0,1.0,18.0,97.0,113.0,2.0,313.0,6.0,21.0,7.0,0.0,23.0,42.0,24.0,12.0,0.233,0.294,0.318,-5.0
andre001,1652.0,6366.0,893.0,1743.0,303.0,48.0,76.0,636.0,516.0,5.0,962.0,44.0,100.0,52.0,1.0,123.0,161.0,305.0,105.0,0.274,0.33,0.372,11.5
andrf101,16.0,29.0,4.0,8.0,0.0,1.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.276,0.353,0.345,0.2
andrj001,26.0,61.0,4.0,14.0,2.0,0.0,0.0,4.0,5.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.23,0.284,0.262,-0.4
