Player Name,Team,HR,Game
Larry Benton,NY,6,5-12-1930
Sloppy Thurston,BRO,6,8-13-1932
Tommy Thomas,STL,6,6-27-1936
Bill Kerksieck,PHI,6,8-13-1939
George Caster,PHI,6,9-24-1940
Tim Wakefield,BOS,6,8-8-2004
R.A. Dickey,TEX,6,4-6-2006
James Shields,TB,6,8-7-2010
Michael Blazek,MIL,6,7-27-2017
