Player Name,Team,BB,Game
Bruno Haas,PHI,16,6-23-1915
Tommy Byrne,STL,16,8-22-1951
Boardwalk Brown,PHI,15,7-12-1913
Henry Mathewson,NY,14,10-5-1906
Skipper Friday,WAS,14,6-17-1923
Pete Schneider,CIN,13,7-6-1918
George Turbeville,PHI,13,8-24-1935
Tommy Byrne,NY,13,6-8-1949
Dick Weik,WAS,13,9-1-1949
Tommy Byrne,STL,13,8-28-1951
Bud Podbielan,CIN,13,5-18-1953
