Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Tremaine Edmunds*,BUF,22,MLB,15,15,0,0,0,0,3,,,,,,2.0,119,77,42,4,3,,2020,defense
Justin Simmons*,DEN,27,FS,16,16,5,90,0,46,9,0,0,1,18,0,0.0,96,77,19,3,0,,2020,defense
Tyrell Adams,HOU,28,RILB,16,12,0,0,0,0,4,2,0,1,0,0,2.0,125,76,49,5,3,,2020,defense
Keanu Neal,ATL,25,FS,15,14,1,0,0,0,2,0,0,1,0,0,1.0,100,76,24,9,3,,2020,defense
Adrian Phillips,NWE,28,SS,16,16,2,5,0,5,4,,,,,,1.0,109,76,33,7,1,,2020,defense
Alex Singleton,PHI,27,LLB,16,11,1,30,1,30,1,0,0,2,1,0,2.0,120,75,45,5,7,,2020,defense
Demario Davis,NOR,31,MLB,16,16,0,0,0,0,5,,,,,,4.0,119,73,46,10,12,,2020,defense
John Johnson,LAR,25,FS,16,16,1,0,0,0,8,,,,,,0.0,105,73,32,2,0,,2020,defense
Deion Jones,ATL,26,LLB,16,16,2,84,1,67,6,1,0,1,0,0,4.5,106,73,33,9,10,,2020,defense
Avery Williamson,2TM,28,,15,10,1,21,0,21,3,,,,,,1.0,111,73,38,3,2,,2020,defense
Myles Jack,JAX,25,LLB,14,14,1,0,0,0,5,1,0,2,16,0,1.0,118,72,46,6,2,,2020,defense
,,,,,,,,,,,,,,,,,,,,,,,2020,defense
Alexander Johnson,DEN,29,LILB,16,16,0,0,0,0,2,2,0,0,0,0,1.0,124,72,52,4,5,,2020,defense
Jerome Baker,MIA,24,RILB,16,11,0,0,0,0,3,2,0,0,0,0,7.0,112,70,42,7,11,,2020,defense
Marlon Humphrey*,BAL,24,LCB,15,15,1,8,0,8,11,8,0,0,0,0,2.5,82,70,12,4,4,1,2020,defense
Taron Johnson,BUF,24,DB,16,11,1,51,1,51,7,1,0,0,0,0,1.0,94,70,24,5,3,,2020,defense
De'Vondre Campbell,ARI,27,LILB,16,16,0,0,0,0,3,1,0,0,0,0,2.0,99,69,30,7,2,,2020,defense
Malcolm Jenkins,NOR,33,SS,16,16,3,58,0,48,10,1,0,1,0,0,2.5,91,69,22,7,6,,2020,defense
Eric Kendricks,MIN,28,MLB,11,11,3,0,0,0,6,,,,,,0.0,107,69,38,4,1,,2020,defense
Jeremy Chinn,CAR,22,RLB,15,15,1,0,0,0,5,2,0,2,45,2,1.0,117,68,49,2,5,,2020,defense
Kenny Moore,IND,25,LCB,16,14,4,45,1,29,13,1,0,0,0,0,2.0,80,68,12,4,3,,2020,defense
Kenneth Murray,LAC,22,RLB,16,16,0,0,0,0,3,,,,,,1.0,107,68,39,5,1,,2020,defense
Logan Ryan,NYG,29,FS,16,15,1,15,0,15,9,3,0,2,0,0,1.0,94,68,26,1,4,,2020,defense
Daniel Sorensen,KAN,30,ss,15,11,3,67,1,50,5,2,0,0,0,0,0.0,91,68,23,2,4,,2020,defense
Vonn Bell,CIN,26,SS,16,16,0,0,0,0,5,3,0,2,65,0,0.0,114,67,47,3,4,,2020,defense
Kareem Jackson,DEN,32,SS,16,16,1,13,0,13,4,0,0,2,2,0,0.0,89,67,22,1,0,,2020,defense
Josey Jewell,DEN,26,RILB,16,16,0,0,0,0,4,,,,,,2.0,113,67,46,5,5,,2020,defense
Danny Trevathan,CHI,30,RILB,16,16,0,0,0,0,5,1,0,0,0,0,1.0,113,67,46,3,2,,2020,defense
Patrick Queen,BAL,21,LILB,16,16,1,0,0,0,2,2,0,2,53,1,3.0,106,66,40,9,10,,2020,defense
Eric Rowe,MIA,28,FS,16,14,2,26,0,22,11,0,0,1,0,0,0.0,91,66,25,1,2,,2020,defense
Adrian Amos,GNB,27,SS,16,16,2,47,0,24,9,,,,,,2.0,83,65,18,4,3,,2020,defense
Anthony Walker,IND,25,MLB,16,16,1,11,0,11,5,0,0,1,0,0,0.0,92,65,27,2,1,,2020,defense
Khari Willis,IND,24,SS,14,14,2,93,1,50,6,1,0,0,0,0,2.0,85,65,20,3,4,,2020,defense
Tre Herndon,JAX,24,lcb,16,12,0,0,0,0,5,,,,,,1.0,76,64,12,4,2,,2020,defense
Shaq Thompson,CAR,26,LLB,16,15,0,0,0,0,5,2,0,1,0,0,0.0,114,64,50,6,2,,2020,defense
Tracy Walker,DET,25,ss,15,7,0,0,0,0,4,,,,,,1.0,87,64,23,5,2,,2020,defense
Antoine Winfield Jr.,TAM,22,SS,16,16,1,16,0,16,6,2,0,1,0,0,3.0,94,64,30,1,4,,2020,defense
Kamren Curl,WAS,21,SS,16,11,3,88,1,76,4,,,,,,2.0,88,63,25,4,5,,2020,defense
Eddie Jackson,CHI,27,FS,16,16,0,0,0,0,5,3,0,1,8,1,0.0,82,63,19,1,0,,2020,defense
Nicholas Morrow,LVR,25,LLB,14,11,1,6,0,6,9,1,0,1,0,0,3.0,78,62,16,8,6,,2020,defense
Justin Reid,HOU,23,SS,13,13,0,0,0,0,4,,,,,,2.0,83,62,21,6,4,,2020,defense
Kenny Vaccaro,TEN,29,SS,13,13,0,0,0,0,5,0,0,1,53,0,1.0,83,62,21,6,1,,2020,defense
,,,,,,,,,,,,,,,,,,,,,,,2020,defense
Eric Wilson,MIN,26,RLB,16,15,3,23,0,16,8,1,0,2,7,0,3.0,122,62,60,8,9,,2020,defense
Jonathan Bostic,WAS,29,MLB,16,15,1,0,0,0,3,,,,,,3.0,118,61,57,6,6,,2020,defense
Tre Boston,CAR,28,FS,16,16,1,0,0,0,4,1,0,2,0,0,1.0,95,61,34,3,2,,2020,defense
Dre Greenlaw,SFO,23,RLB,13,11,0,0,0,0,1,,,,,,1.0,86,61,25,7,2,,2020,defense
Vernon Hargreaves III,HOU,25,RCB,16,16,1,0,0,0,7,,,,,,0.0,72,61,11,1,0,,2020,defense
AJ Terrell,ATL,22,LCB,14,14,1,0,0,0,7,3,0,0,0,0,0.0,74,61,13,3,1,,2020,defense
Johnathan Abram,LVR,24,SS,13,13,2,29,0,24,6,0,0,1,0,0,0.0,86,60,26,3,4,,2020,defense
Minkah Fitzpatrick*+,PIT,24,FS,16,16,4,77,1,37,11,1,0,1,-1,0,0.0,79,60,19,1,0,,2020,defense
Jonathan Jones,NWE,27,DB,16,7,2,0,0,0,6,1,0,0,0,0,0.0,74,60,14,0,1,,2020,defense
K.J. Wright,SEA,31,ROLB,16,16,1,7,0,7,10,1,0,2,0,0,2.0,86,60,26,11,3,,2020,defense
Jamal Adams*,SEA,25,SS,12,12,0,0,0,0,3,1,0,0,0,0,9.5,83,59,24,11,14,,2020,defense
Rashaan Evans,TEN,25,LILB,16,16,0,0,0,0,5,0,0,1,25,0,0.5,96,59,37,1,4,,2020,defense
B.J. Goodson,CLE,27,MLB,14,14,2,7,0,7,6,0,0,1,0,0,0.5,91,59,32,2,3,,2020,defense
Josh Jones,JAX,26,SS,13,13,1,0,0,0,1,,,,,,0.0,83,59,24,0,0,,2020,defense
Jalen Mills,PHI,26,FS,15,15,1,5,0,5,3,1,0,0,0,0,1.5,74,59,15,4,5,,2020,defense
Nasir Adderley,LAC,23,FS,15,14,1,39,0,39,3,0,0,1,1,0,0.0,69,58,11,0,1,,2020,defense
Rayshawn Jenkins,LAC,26,SS,15,15,2,23,0,23,4,,,,,,1.0,84,58,26,4,1,,2020,defense
Chuck Clark,BAL,25,SS,16,16,1,0,0,0,4,2,1,3,66,1,1.5,96,57,39,3,4,,2020,defense
Bobby Okereke,IND,24,RLB,14,8,1,7,0,7,6,0,0,2,11,0,0.0,72,57,15,4,1,,2020,defense
Jabrill Peppers,NYG,25,SS,15,14,1,6,0,6,11,1,0,1,0,0,2.5,91,57,34,8,3,,2020,defense
Trayvon Mullen,LVR,23,LCB,16,16,2,0,0,0,14,,,,,,0.0,64,56,8,2,0,,2020,defense
Darnell Savage Jr.,GNB,23,FS,15,15,4,13,0,9,12,0,0,1,0,0,1.0,75,56,19,3,2,,2020,defense
Jamie Collins,DET,31,RLB,14,14,1,1,0,1,6,3,0,1,0,0,1.0,101,55,46,6,3,,2020,defense
Troy Hill,LAR,29,LCB,16,16,3,119,2,84,10,1,0,2,20,1,0.0,77,55,22,1,0,,2020,defense
Duron Harmon,DET,29,FS,16,16,2,22,0,21,5,,,,,,0.0,73,54,19,0,1,,2020,defense
Harrison Smith,MIN,31,SS,16,16,5,33,0,16,10,,,,,,0.5,89,54,35,2,5,,2020,defense
Josh Bynes,CIN,31,LLB,16,16,0,0,0,0,2,0,0,1,0,0,1.0,99,53,46,5,2,,2020,defense
Shaquill Griffin,SEA,25,LCB,12,12,3,20,0,16,12,,,,,,0.0,63,53,10,2,0,,2020,defense
Dre Kirkpatrick,ARI,31,RCB,14,11,3,13,0,13,7,,,,,,0.0,56,53,3,0,0,,2020,defense
A.J. Klein,BUF,29,LLB,16,11,0,0,0,0,4,2,0,1,0,0,5.0,75,53,22,5,9,,2020,defense
,,,,,,,,,,,,,,,,,,,,,,,2020,defense
Nick Kwiatkoski,LVR,27,MLB,12,12,1,9,0,9,4,1,0,0,0,0,1.0,81,53,28,3,2,,2020,defense
Sean Murphy-Bunting,TAM,23,RCB,16,13,1,0,0,0,3,1,0,1,3,0,0.0,70,53,17,3,1,,2020,defense
Troy Reeder,LAR,26,LILB,16,7,0,0,0,0,2,,,,,,3.0,81,53,28,5,4,,2020,defense
Darius Slay,PHI,29,RCB,15,14,1,25,0,25,6,,,,,,0.0,59,53,6,2,0,,2020,defense
Jordan Whitehead,TAM,23,FS,16,16,2,2,0,2,4,1,0,1,0,0,2.0,74,53,21,9,3,,2020,defense
Carlton Davis,TAM,24,LCB,14,14,4,42,0,34,18,,,,,,0.0,68,52,16,3,0,,2020,defense
Kyle Fuller,CHI,28,LCB,16,16,1,5,0,5,8,1,0,0,0,0,0.0,65,52,13,0,0,,2020,defense
Chauncey Gardner-Johnson,NOR,23,DB,15,13,1,3,0,3,13,,,,,,1.0,66,52,14,5,4,,2020,defense
Marshon Lattimore*,NOR,24,RCB,14,14,2,13,0,13,11,,,,,,0.0,62,52,10,2,0,,2020,defense
Marcus Maye,NYJ,27,FS,16,16,2,0,0,0,11,2,0,1,0,0,2.0,88,52,36,4,2,,2020,defense
Patrick Peterson,ARI,30,LCB,16,16,3,7,0,7,8,,,,,,0.0,61,52,9,0,0,,2020,defense
Jamel Dean,TAM,24,db,14,7,1,32,1,32,7,,,,,,0.0,62,51,11,2,0,,2020,defense
DeShon Elliott,BAL,23,FS,16,16,0,0,0,0,4,2,0,0,0,0,2.5,80,51,29,3,5,,2020,defense
Isaiah Oliver,ATL,24,RCB,16,12,0,0,0,0,6,1,0,0,0,0,1.0,70,51,19,4,2,,2020,defense
Ja'Whaun Bentley,NWE,24,LLB,13,13,0,0,0,0,2,,,,,,1.5,91,50,41,3,3,,2020,defense
Jason Verrett,SFO,29,LCB,13,13,2,0,0,0,7,,,,,,0.0,60,50,10,2,0,,2020,defense
Kyzir White,LAC,24,LLB,11,10,0,0,0,0,3,,,,,,0.5,77,50,27,4,3,,2020,defense
Krys Barnes,GNB,22,RILB,13,10,,,,,,1,0,0,0,0,1.0,80,49,31,5,1,,2020,defense
Trevon Diggs,DAL,22,RCB,12,11,3,43,0,33,14,1,0,0,0,0,1.0,58,49,9,1,0,,2020,defense
Malcolm Smith,CLE,31,,15,4,1,2,0,2,2,1,0,0,0,0,1.0,72,49,23,3,1,,2020,defense
Michael Davis,LAC,25,LCB,16,14,3,86,1,78,14,,,,,,0.0,64,48,16,2,0,,2020,defense
Tashaun Gipson,CHI,30,SS,16,16,2,10,0,9,7,0,0,1,0,0,0.0,66,48,18,0,0,,2020,defense
Micah Hyde,BUF,30,FS,15,15,1,33,0,33,5,0,1,0,0,0,0.0,70,48,22,1,0,,2020,defense
Tyrann Mathieu*+,KAN,28,SS,15,15,6,70,1,25,9,0,0,1,-2,0,0.0,62,48,14,3,2,,2020,defense
Donovan Wilson,DAL,25,SS,14,10,2,5,0,5,3,3,0,2,0,0,3.5,71,48,23,2,3,,2020,defense
Nevin Lawson,LVR,29,RCB,14,9,0,0,0,0,4,2,0,1,0,0,1.0,61,47,14,1,1,,2020,defense
Julian Love,NYG,22,db,16,6,1,13,0,13,3,,,,,,0.0,64,47,17,1,0,,2020,defense
Eric Murray,HOU,26,FS,14,14,0,0,0,0,2,1,0,0,0,0,2.0,71,47,24,2,4,,2020,defense
Vince Williams,PIT,31,RILB,14,14,,,,,,0,0,2,0,0,3.0,70,47,23,14,4,,2020,defense
Terrell Edmunds,PIT,23,SS,15,12,2,11,0,7,8,,,,,,1.0,68,46,22,1,1,,2020,defense
,,,,,,,,,,,,,,,,,,,,,,,2020,defense
Karl Joseph,CLE,27,SS,14,8,1,49,0,49,4,0,1,2,0,0,0.0,67,46,21,2,0,,2020,defense
Christian Kirksey,GNB,28,LILB,11,11,2,18,0,10,4,,,,,,2.0,77,46,31,2,2,,2020,defense
Harold Landry,TEN,24,ROLB,16,16,1,0,0,0,5,,,,,,5.5,69,46,23,10,16,,2020,defense
Marcus Peters,BAL,27,RCB,14,14,4,17,0,12,9,4,1,2,-3,0,1.0,52,46,6,1,1,,2020,defense
D.J. Reed,SEA,24,RCB,10,8,2,21,0,20,7,0,1,2,0,0,0.0,62,46,16,2,0,,2020,defense
Kyle Van Noy,MIA,29,ROLB,14,13,0,0,0,0,6,2,0,2,28,0,6.0,69,46,23,10,10,,2020,defense
Jayon Brown,TEN,25,RILB,10,10,1,0,0,0,8,2,0,0,0,0,1.0,76,45,31,5,2,,2020,defense
Cole Holcomb,WAS,24,LLB,11,10,1,0,0,0,1,,,,,,2.5,72,45,27,6,4,,2020,defense
Kevin King,GNB,25,RCB,11,11,0,0,0,0,5,1,0,1,48,0,0.0,57,45,12,0,1,,2020,defense
Devin McCourty,NWE,33,FS,16,16,2,62,1,43,6,,,,,,0.0,68,45,23,2,0,,2020,defense
Amani Oruwariye,DET,24,RCB,16,15,1,0,0,0,7,,,,,,0.0,53,45,8,1,0,,2020,defense
Jarrod Wilson,JAX,26,FS,12,12,1,48,0,48,3,,,,,,0.0,69,45,24,2,0,,2020,defense
James Bradberry*,NYG,27,LCB,15,15,3,19,0,19,18,2,0,1,0,0,0.0,54,44,10,0,0,,2020,defense
Joe Haden,PIT,31,LCB,14,14,2,38,1,24,12,,,,,,0.0,52,44,8,2,0,,2020,defense
Janoris Jenkins,NOR,32,LCB,13,13,3,53,1,36,12,,,,,,0.0,55,44,11,2,0,,2020,defense
Tre'Davious White*,BUF,25,LCB,14,14,3,28,0,28,11,1,0,2,-1,0,1.5,57,44,13,2,3,,2020,defense
Shaquil Barrett,TAM,28,ROLB,15,15,0,0,0,0,3,2,0,0,0,0,8.0,57,43,14,11,16,1,2020,defense
Ronald Darby,WAS,26,RCB,16,16,0,0,0,0,16,0,0,1,0,0,0.0,55,43,12,1,0,,2020,defense
Kyle Dugger,NWE,24,db,14,7,,,,,,,,,,,0.0,64,43,21,1,0,,2020,defense
Rodney McLeod,PHI,30,SS,13,13,1,21,0,21,7,0,0,2,50,1,0.0,66,43,23,3,0,,2020,defense
Steven Nelson,PIT,27,RCB,15,15,2,3,0,3,9,0,0,1,0,0,0.0,48,43,5,2,0,,2020,defense
Haason Reddick,ARI,26,LOLB,16,11,0,0,0,0,4,6,0,0,0,0,12.5,63,43,20,15,16,,2020,defense
Isaiah Simmons,ARI,22,lb,16,7,1,12,0,12,2,1,0,1,0,0,2.0,54,43,11,4,3,,2020,defense
T.J. Watt*+,PIT,26,LOLB,15,15,1,0,0,0,7,2,0,0,0,0,15.0,53,43,10,23,41,,2020,defense
Quandre Diggs*,SEA,27,FS,16,16,5,57,0,32,10,,,,,,0.0,64,42,22,0,0,,2020,defense
Jordan Fuller,LAR,22,SS,12,12,3,45,0,37,5,,,,,,0.0,60,42,18,0,0,,2020,defense
Mike Hilton,PIT,26,db,12,6,3,5,0,8,7,1,0,2,22,0,3.0,51,42,9,8,5,,2020,defense
Brandon Jones,MIA,22,,16,4,0,0,0,0,1,1,0,0,0,0,1.0,62,41,21,3,1,,2020,defense
Jeff Okudah,DET,21,rcb,9,6,1,36,0,36,2,,,,,,0.0,47,41,6,4,0,,2020,defense
Sione Takitaki,CLE,25,RLB,15,12,1,50,1,50,1,,,,,,1.0,67,41,26,2,2,,2020,defense
,,,,,,,,,,,,,,,,,,,,,,,2020,defense
Jaire Alexander*,GNB,23,LCB,15,15,1,-4,0,-4,13,1,0,0,0,0,1.0,51,40,11,2,1,1,2020,defense
Xavien Howard*+,MIA,27,RCB,16,16,10,77,0,29,20,1,0,0,0,0,0.0,51,40,11,1,0,,2020,defense
Desmond King,2TM,26,,15,8,0,0,0,0,2,0,0,1,63,1,2.0,55,40,15,2,2,,2020,defense
Jourdan Lewis,DAL,25,DB,15,13,0,0,0,0,2,0,0,1,0,0,2.0,59,40,19,7,1,,2020,defense
Byron Murphy,ARI,22,rcb,15,7,0,0,0,0,8,0,0,2,3,0,2.0,51,40,11,3,2,,2020,defense
Grover Stewart,IND,27,RDT,16,16,0,0,0,0,1,,,,,,0.5,53,40,13,6,5,,2020,defense
Kwon Alexander,2TM,26,,12,12,0,0,0,0,4,2,0,2,20,0,1.0,57,39,18,3,2,,2020,defense
Pierre Desir,2TM,30,,12,8,3,58,1,35,8,1,0,0,0,0,0.0,49,39,10,2,0,,2020,defense
Bobby McCain,MIA,27,SS,16,15,1,19,0,19,5,,,,,,0.0,46,39,7,0,2,,2020,defense
Robert Spillane,PIT,25,LILB,12,7,1,33,1,33,4,0,0,1,0,0,2.0,45,39,6,4,3,,2020,defense
Marcus Williams,NOR,24,FS,14,14,3,37,0,20,7,,,,,,0.0,59,39,20,0,0,,2020,defense
Kendall Fuller,WAS,25,LCB,14,14,4,0,0,0,11,,,,,,0.0,50,38,12,1,0,,2020,defense
William Jackson III,CIN,28,RCB,14,14,1,30,0,30,11,,,,,,0.0,45,38,7,1,0,,2020,defense
LeShaun Sims,CIN,27,lcb,13,10,1,0,0,0,4,,,,,,0.0,52,38,14,0,0,,2020,defense
Charvarius Ward,KAN,24,LCB,14,13,0,0,0,0,6,,,,,,1.0,51,38,13,1,3,,2020,defense
Denzel Ward,CLE,23,LCB,12,12,2,0,0,0,18,1,0,0,0,0,0.0,46,38,8,1,1,,2020,defense
DeForest Buckner+,IND,26,LDT,15,14,0,0,0,0,3,2,0,1,0,0,9.5,58,37,21,10,26,1,2020,defense
T.J. Edwards,PHI,24,MLB,12,12,1,13,0,13,1,2,0,0,0,0,2.0,70,37,33,5,2,,2020,defense
Lawrence Guy,NWE,30,LDT,14,14,,,,,,0,0,1,0,0,2.0,57,37,20,4,7,,2020,defense
Harvey Langi,NYJ,28,LILB,14,6,0,0,0,0,1,0,0,1,0,0,0.0,60,37,23,0,1,,2020,defense
Tarvarius Moore,SFO,24,SS,16,8,0,0,0,0,1,1,0,1,3,0,0.0,52,37,15,1,0,,2020,defense
Nickell Robey-Coleman,PHI,28,lcb,15,7,0,0,0,0,1,1,0,1,0,0,0.0,44,37,7,2,0,,2020,defense
Darious Williams,LAR,27,cb,16,10,4,21,0,19,14,,,,,,0.0,44,37,7,1,0,,2020,defense
Jonathan Allen,WAS,25,RDT,16,16,,,,,,0,0,1,0,0,2.0,63,36,27,3,14,1,2020,defense
Bryce Callahan,DEN,29,RCB,10,10,2,0,0,0,5,0,0,1,0,0,0.0,42,36,6,1,0,,2020,defense
Cameron Dantzler,MIN,22,LCB,11,10,2,0,0,0,4,1,0,1,0,0,0.0,46,36,10,3,0,,2020,defense
Casey Hayward,LAC,31,RCB,14,13,1,9,0,9,8,,,,,,0.0,41,36,5,0,0,,2020,defense
Nik Needham,MIA,24,db,16,6,2,1,0,1,7,,,,,,1.0,58,36,22,1,1,,2020,defense
Kevin Pierre-Louis,WAS,29,RLB,13,11,0,0,0,0,2,1,0,0,0,0,1.0,56,36,20,3,2,,2020,defense
Jalen Ramsey*+,LAR,26,RCB,15,15,1,2,0,2,9,,,,,,0.0,44,36,8,2,1,,2020,defense
,,,,,,,,,,,,,,,,,,,,,,,2020,defense
J.J. Watt,HOU,31,LDE,16,16,1,19,1,19,7,2,0,1,0,0,5.0,52,36,16,14,17,,2020,defense
Rock Ya-Sin,IND,24,lcb,13,8,1,0,0,0,7,1,0,0,0,0,0.0,45,36,9,0,0,,2020,defense
Julian Blackmon,IND,22,FS,15,14,2,19,0,15,6,1,0,0,0,0,0.0,42,35,7,3,0,,2020,defense
Brian Burns,CAR,22,LDE,15,14,0,0,0,0,4,3,0,0,0,0,9.0,58,35,23,8,21,,2020,defense
Marcus Epps,PHI,24,db,14,5,2,0,0,0,4,,,,,,0.0,47,35,12,0,0,,2020,defense
Brandon Graham*,PHI,32,RDE,16,16,,,,,,2,0,1,0,0,8.0,46,35,11,13,16,,2020,defense
Amani Hooker,TEN,22,,16,3,4,11,0,6,8,,,,,,0.0,51,35,16,1,0,,2020,defense
Sebastian Joseph,LAR,25,NT,16,16,0,0,0,0,3,1,0,0,0,0,1.0,55,35,20,1,4,,2020,defense
Matt Milano,BUF,26,llb,10,5,1,0,0,0,3,,,,,,3.5,45,35,10,4,9,,2020,defense
Xavier Rhodes,IND,30,RCB,16,16,2,44,1,44,12,,,,,,0.0,42,35,7,0,0,,2020,defense
Sheldon Richardson,CLE,30,LDT,16,16,0,0,0,0,3,1,0,0,0,0,4.5,64,35,29,5,10,,2020,defense
Za'Darius Smith*,GNB,28,ROLB,16,16,0,0,0,0,2,4,0,2,0,0,12.5,52,35,17,12,23,,2020,defense
Andrew Wingard,JAX,24,,13,4,2,31,0,19,5,0,0,1,17,0,0.0,50,35,15,3,0,,2020,defense
Juston Burris,CAR,27,SS,13,12,1,0,0,0,4,,,,,,0.0,53,34,19,3,1,,2020,defense
Tae Crowder,NYG,23,RILB,11,6,0,0,0,0,1,0,0,1,43,1,1.0,57,34,23,3,3,,2020,defense
J.C. Jackson,NWE,25,lcb,16,11,9,80,0,30,14,0,0,3,0,0,0.0,40,34,6,1,0,,2020,defense
Cameron Jordan*,NOR,31,LDE,16,16,0,0,0,0,3,1,0,0,0,0,7.5,51,34,17,11,16,,2020,defense
DeMarcus Lawrence,DAL,28,DE,16,15,0,0,0,0,2,4,0,1,0,0,6.5,58,34,24,11,10,,2020,defense
Emmanuel Moseley,SFO,24,RCB,12,8,1,51,0,51,9,,,,,,0.0,47,34,13,0,0,,2020,defense
Jason Pierre-Paul*,TAM,31,LOLB,16,16,2,15,0,15,6,4,0,2,0,0,9.5,55,34,21,7,14,,2020,defense
Brian Poole,NYJ,28,cb,9,7,2,15,0,13,7,,,,,,1.0,44,34,10,2,2,,2020,defense
Malik Reed,DEN,24,LOLB,16,13,0,0,0,0,1,1,0,0,0,0,8.0,53,34,19,8,17,,2020,defense
Darryl Roberts,DET,30,db,11,5,1,6,0,6,6,,,,,,0.0,39,34,5,1,0,,2020,defense
John Simon,NWE,30,RDE,16,16,0,0,0,0,3,,,,,,2.0,53,34,19,4,4,,2020,defense
Levi Wallace,BUF,25,RCB,12,12,2,0,0,0,8,,,,,,0.0,48,34,14,1,1,,2020,defense
Chris Claybrooks,JAX,23,,13,4,0,0,0,0,3,0,1,0,0,0,0.0,39,33,6,1,0,,2020,defense
Myles Garrett*+,CLE,25,LDE,14,14,0,0,0,0,2,4,0,2,0,0,12.0,48,33,15,10,18,,2020,defense
Bryce Hall,NYJ,23,LCB,8,7,1,20,0,20,3,,,,,,0.0,36,33,3,1,0,,2020,defense
Sam Hubbard,CIN,25,LDE,13,13,0,0,0,0,3,1,0,0,0,0,2.0,62,33,29,5,11,,2020,defense
Jimmy Moreland,WAS,25,db,16,5,1,32,0,32,1,1,0,0,0,0,0.5,44,33,11,1,2,,2020,defense
,,,,,,,,,,,,,,,,,,,,,,,2020,defense
Ryan Neal,SEA,25,,13,4,2,1,0,1,5,,,,,,0.0,44,33,11,3,0,1,2020,defense
Elandon Roberts,MIA,26,LILB,13,11,,,,,,1,0,1,0,0,1.5,61,33,28,8,4,,2020,defense
Bradley Roby,HOU,28,LCB,10,10,1,0,0,0,7,0,0,1,0,0,0.0,37,33,4,2,0,,2020,defense
Juan Thornhill,KAN,25,FS,16,8,1,20,0,20,3,,,,,,0.0,41,33,8,0,1,,2020,defense
Stephon Tuitt,PIT,27,DE,15,15,0,0,0,0,3,2,0,0,0,0,11.0,45,33,12,10,25,,2020,defense
Chase Winovich,NWE,25,lde,16,9,1,0,0,0,2,1,0,0,0,0,5.5,48,33,15,6,12,,2020,defense
Mackensie Alexander,CIN,27,CB,13,10,1,21,0,21,6,,,,,,0.0,47,32,15,1,0,,2020,defense
Anthony Brown,DAL,27,LCB,10,8,2,14,0,14,3,0,0,1,29,1,1.0,39,32,7,1,1,,2020,defense
L.J. Fort,BAL,30,RILB,14,8,0,0,0,0,2,1,0,2,24,1,0.0,53,32,21,2,1,,2020,defense
Nathan Gerry,PHI,25,llb,7,7,0,0,0,0,2,,,,,,1.0,57,32,25,4,2,,2020,defense
Matt Judon*,BAL,28,ROLB,14,13,0,0,0,0,2,,,,,,6.0,50,32,18,9,21,1,2020,defense
Romeo Okwara,DET,25,RDE,16,9,0,0,0,0,1,3,0,1,0,0,10.0,44,32,12,11,18,1,2020,defense
