Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Zach Cunningham,HOU,26,LILB,16,16,0,0,0,0,2,1,0,0,0,0,3.0,164,106,58,7,4,,2020,defense
Roquan Smith,CHI,23,LILB,16,16,2,16,0,11,7,1,1,1,0,0,4.0,139,98,41,18,6,,2020,defense
Devin White,TAM,22,LILB,15,15,0,0,0,0,4,1,0,1,2,0,9.0,140,97,43,15,16,,2020,defense
Neville Hewitt,NYJ,27,RILB,16,16,0,0,0,0,4,1,0,1,17,0,2.0,134,91,43,6,4,,2020,defense
Jordan Poyer,BUF,29,SS,16,16,2,14,0,14,5,2,0,0,0,0,2.0,124,91,33,4,4,,2020,defense
Budda Baker*+,ARI,24,SS,15,15,2,90,0,90,6,1,0,0,0,0,2.0,118,90,28,7,3,,2020,defense
Jaylon Smith,DAL,25,RLB,16,16,1,43,0,43,5,0,0,2,21,0,1.5,154,89,65,5,4,,2020,defense
Malcolm Butler,TEN,30,RCB,16,16,4,111,0,68,14,,,,,,0.0,100,86,14,1,0,,2020,defense
Darius Leonard*+,IND,25,LLB,14,14,0,0,0,0,7,3,1,2,3,0,3.0,132,86,46,7,3,,2020,defense
Blake Martinez,NYG,26,LILB,16,16,1,2,0,2,5,2,0,1,0,0,3.0,151,86,65,9,6,,2020,defense
Joe Schobert,JAX,27,MLB,16,16,3,45,1,43,4,2,0,0,0,0,2.5,141,84,57,6,6,,2020,defense
Lavonte David,TAM,30,RILB,16,16,1,-5,0,-5,6,3,0,2,0,0,1.5,117,82,35,12,3,,2020,defense
Bobby Wagner*+,SEA,30,RILB,16,16,0,0,0,0,8,0,0,1,0,0,3.0,138,81,57,7,11,,2020,defense
Kevin Byard,TEN,27,FS,16,16,1,0,0,0,7,1,0,0,0,0,0.0,111,79,32,1,1,,2020,defense
Fred Warner*+,SFO,24,MLB,16,16,2,3,0,3,6,1,0,2,0,0,1.0,125,79,46,5,7,,2020,defense
Jessie Bates III,CIN,23,FS,16,16,3,12,0,12,15,1,0,0,0,0,0.0,109,78,31,2,1,,2020,defense
Jordan Hicks,ARI,28,RILB,16,16,1,6,0,6,4,,,,,,0.0,118,78,40,11,1,,2020,defense
Foyesade Oluokun,ATL,25,MLB,15,14,2,65,0,51,4,4,1,1,0,0,3.0,117,78,39,4,9,,2020,defense
