Player Name,Team,SO,Game
Carl Weilman,STL,6,7-25-1913
Don Hoak,CHI,6,5-2-1956
Rick Reichardt,CAL,6,5-31-1966
Billy Cowan,CAL,6,7-9-1971
Cecil Cooper,BOS,6,6-14-1974
Sam Horn,BAL,6,7-17-1991
Alex Gonzalez,TOR,6,9-9-1998
Geoff Jenkins,MIL,6,6-8-2004
