Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year,Category
Todd Davis,DEN,24,ROLB,16,15,0,0,0,0,3,1,0,1,1,0,0.5,97,64,33,2,4,,2016,defense
Marcus Cooper,ARI,26,RCB,15,13,4,95,1,60,11,,,,,,0.0,69,63,6,0,0,,2016,defense
David Harris,NYJ,32,RILB,15,15,0,0,0,0,2,,,,,,0.5,95,63,32,5,2,,2016,defense
Daryl Worley,CAR,21,RCB,16,11,1,22,0,22,9,,,,,,1.0,88,63,25,2,1,,2016,defense
Mike Adams ,IND,35,SS,15,15,2,56,0,56,2,2,0,2,0,0,0.0,79,62,17,1,2,,2016,defense
Eric Berry*+,KAN,28,SS,16,16,4,98,2,42,9,1,0,0,0,0,0.0,77,62,15,2,0,,2016,defense
Bashaud Breeland,WAS,24,LCB,14,14,3,32,0,26,11,2,0,0,0,0,1.0,73,62,11,1,1,,2016,defense
Jonathan Casillas,NYG,29,RLB,16,15,0,0,0,0,8,1,0,0,0,0,1.5,96,62,34,5,3,,2016,defense
Ha Ha Clinton-Dix*,GNB,24,FS,16,16,5,75,0,27,7,1,0,0,0,0,0.5,80,62,18,1,1,,2016,defense
Corey Graham,BUF,31,FS,16,16,1,0,0,0,9,0,0,1,0,0,1.0,87,62,25,2,1,,2016,defense
Von Miller*+,DEN,27,LOLB,16,16,0,0,0,0,3,3,0,0,0,0,13.5,78,62,16,13,24,,2016,defense
,,,,,,,,,,,,,,,,,,,,,,,2016,defense
Ricardo Allen,ATL,25,SS,16,16,2,3,0,3,3,,,,,,0.0,90,61,29,0,0,,2016,defense
Vonn Bell,NOR,22,DB,16,14,0,0,0,0,4,2,0,1,0,0,1.0,87,61,26,2,4,,2016,defense
Barry Church,DAL,28,SS,12,12,2,14,0,14,4,1,0,0,0,0,0.0,85,61,24,2,2,,2016,defense
William Compton,WAS,27,LILB,15,15,1,5,0,5,5,1,0,2,0,0,0.0,106,61,45,5,2,,2016,defense
Ramik Wilson,KAN,24,RILB,11,11,1,6,0,6,3,1,0,2,0,0,0.0,76,61,15,3,0,,2016,defense
Nick Bellore,SFO,27,LILB,14,10,1,4,0,4,5,1,0,1,0,0,1.0,83,60,23,4,3,,2016,defense
Jason McCourty,TEN,29,RCB,14,14,2,7,0,6,12,0,0,1,0,0,0.0,69,60,9,0,0,,2016,defense
Chris Conte,TAM,27,SS,14,11,2,73,1,53,5,0,0,1,10,0,0.0,69,59,10,1,0,,2016,defense
Demario Davis,CLE,27,LILB,16,15,0,0,0,0,2,1,0,0,0,0,2.0,99,59,40,7,5,,2016,defense
Kevin Minter,ARI,26,RILB,16,16,0,0,0,0,2,,,,,,3.5,81,59,22,9,7,,2016,defense
Steven Nelson,KAN,23,RCB,15,15,0,0,0,0,16,0,0,2,0,0,0.0,65,59,6,4,1,,2016,defense
Lardarius Webb,BAL,31,FS,16,16,1,0,0,0,5,,,,,,1.0,73,59,14,2,1,,2016,defense
Shawn Williams,CIN,25,SS,15,15,3,14,0,13,5,0,1,0,0,0,1.0,81,59,22,3,8,,2016,defense
Jordan Hicks,PHI,24,MLB,16,16,5,41,0,34,11,0,0,1,0,0,1.0,85,58,27,6,5,,2016,defense
D.J. Swearinger,ARI,25,DB,16,12,3,13,0,12,8,,,,,,2.0,66,58,8,5,3,,2016,defense
Adrian Amos,CHI,23,FS,15,14,0,0,0,0,4,1,0,1,21,0,0.0,65,57,8,3,0,,2016,defense
Chris Harris Jr.*+,DEN,27,RCB,16,15,2,36,0,36,11,1,0,1,6,0,0.0,63,57,6,1,0,,2016,defense
DeShawn Shead,SEA,27,RCB,15,15,1,2,0,2,14,1,0,0,0,0,0.0,81,57,24,0,0,,2016,defense
Lorenzo Alexander*,BUF,33,ROLB,16,16,1,28,0,28,6,3,0,0,0,0,12.5,76,56,20,10,22,,2016,defense
David Amerson,OAK,25,LCB,15,15,2,0,0,0,16,,,,,,0.0,64,56,8,1,0,,2016,defense
Jairus Byrd,NOR,30,FS,16,15,2,35,0,24,3,,,,,,0.0,82,56,26,2,0,,2016,defense
C.J. Mosley*,BAL,24,LILB,14,14,4,40,0,28,8,1,1,0,0,0,0.0,92,56,36,5,4,,2016,defense
Denzel Perryman,SDG,24,RILB,12,11,1,1,0,1,2,,,,,,2.0,72,56,16,8,2,,2016,defense
Sean Davis,PIT,23,SS,16,9,1,0,0,0,5,0,0,1,0,0,1.5,70,55,15,4,4,,2016,defense
Damon Harrison+,NYG,28,LDT,16,16,0,0,0,0,1,1,0,0,0,0,2.5,86,55,31,6,4,,2016,defense
Gerald Hodges,SFO,25,RILB,15,12,2,27,0,21,2,1,0,1,0,0,3.0,83,55,28,3,4,,2016,defense
Mike Mitchell,PIT,29,FS,16,16,1,26,0,26,9,0,0,1,0,0,0.0,77,55,22,0,1,,2016,defense
Glover Quin,DET,30,FS,16,16,2,0,0,0,5,1,0,0,0,0,0.0,68,55,13,2,1,,2016,defense
Jalen Ramsey,JAX,22,RCB,16,16,2,65,1,35,14,1,0,0,0,0,0.0,65,55,10,2,1,,2016,defense
Ryan Shazier*,PIT,24,LILB,13,12,3,0,0,0,9,3,0,1,0,0,3.5,87,55,32,9,7,,2016,defense
,,,,,,,,,,,,,,,,,,,,,,,2016,defense
Daniel Sorensen,KAN,26,,16,1,3,48,1,48,6,2,0,3,56,0,1.0,63,55,8,4,3,,2016,defense
Darian Stewart*,DEN,28,FS,16,16,3,36,0,25,6,1,0,1,28,0,0.0,68,55,13,2,2,,2016,defense
Joe Thomas,GNB,25,lilb,16,7,1,9,0,9,5,0,1,1,6,0,0.0,70,55,15,3,2,,2016,defense
Adam Jones,CIN,33,RCB,16,16,1,2,0,2,7,1,3,1,0,0,0.0,66,54,12,0,1,,2016,defense
Khalil Mack*+,OAK,25,RDE,16,16,1,6,1,6,3,5,0,3,1,0,11.0,73,54,19,14,26,,2016,defense
Brandon Carr,DAL,30,LCB,16,16,1,0,0,0,9,,,,,,0.0,61,53,8,1,1,,2016,defense
Korey Toomer,SDG,28,lilb,13,8,0,0,0,0,2,3,0,1,2,0,1.0,75,53,22,5,3,,2016,defense
Artie Burns,PIT,21,lcb,16,9,3,13,0,9,13,,,,,,0.0,65,52,13,2,0,,2016,defense
Patrick Chung,NWE,29,SS,16,16,1,4,0,4,3,0,0,1,0,0,1.0,91,52,39,1,1,,2016,defense
D'Qwell Jackson,IND,33,LILB,12,12,0,0,0,0,3,0,0,2,0,0,1.0,78,52,26,5,3,,2016,defense
Rashaan Melvin,IND,27,LCB,15,9,0,0,0,0,7,2,0,1,0,0,0.0,60,52,8,1,0,,2016,defense
Josh Norman,WAS,29,RCB,16,16,3,38,0,35,19,2,0,0,0,0,0.0,67,52,15,2,1,,2016,defense
Ron Parker,KAN,29,FS,16,16,1,1,0,1,12,2,0,0,0,0,0.0,61,52,9,1,0,,2016,defense
Kam Chancellor,SEA,28,SS,12,12,2,5,0,5,8,1,0,0,0,0,0.0,86,51,35,3,0,,2016,defense
Brent Grimes,TAM,33,RCB,16,16,4,37,1,31,24,1,0,0,0,0,0.0,57,51,6,0,0,,2016,defense
Casey Hayward*,SDG,27,RCB,16,14,7,102,1,31,20,,,,,,0.0,58,51,7,1,0,,2016,defense
Kareem Jackson,HOU,28,db,14,13,1,42,1,42,4,,,,,,0.0,62,51,11,3,0,,2016,defense
Vincent Rey,CIN,29,LLB,16,12,1,6,0,6,7,0,0,1,10,0,0.0,86,51,35,1,0,,2016,defense
Kenny Vaccaro,NOR,25,SS,11,11,2,30,0,30,5,2,0,1,0,0,1.0,68,51,17,5,8,,2016,defense
Isa Abdul-Quddus,MIA,27,SS,15,15,2,16,0,9,5,,,,,,1.0,78,50,28,2,5,,2016,defense
Robert Alford,ATL,28,LCB,16,16,2,34,1,30,19,,,,,,0.0,61,50,11,1,0,,2016,defense
Lamarcus Joyner,LAR,26,DB,14,8,0,0,0,0,5,1,0,0,0,0,1.0,66,50,16,3,2,,2016,defense
T.J. McDonald,LAR,25,SS,16,16,2,0,0,0,6,,,,,,1.0,64,50,14,6,4,,2016,defense
Sio Moore,3TM,26,,9,7,0,0,0,0,1,2,0,0,0,0,0.0,65,50,15,5,2,,2016,defense
Reggie Nelson*,OAK,33,FS,16,16,5,74,0,40,12,0,0,1,0,0,0.0,65,50,15,0,1,,2016,defense
Tramaine Brock,SFO,28,LCB,16,16,1,39,0,39,14,1,0,0,0,0,0.0,59,49,10,5,0,,2016,defense
George Iloka,CIN,26,FS,16,16,3,21,0,21,7,,,,,,0.0,74,49,25,1,0,,2016,defense
Dwight Lowery,SDG,30,FS,16,16,1,25,0,25,9,1,0,1,36,1,0.0,60,49,11,1,0,,2016,defense
Nathan Stupar,NOR,28,MLB,16,6,1,0,0,0,2,2,0,2,0,0,1.0,59,49,10,1,1,,2016,defense
Danny Trevathan,CHI,26,RILB,9,8,0,0,0,0,4,,,,,,1.0,66,49,17,1,1,,2016,defense
,,,,,,,,,,,,,,,,,,,,,,,2016,defense
A.J. Bouye,HOU,25,RCB,15,11,1,0,0,0,16,,,,,,1.0,63,48,15,2,1,,2016,defense
Malcolm Butler,NWE,26,LCB,16,16,4,28,0,21,17,1,0,2,2,0,1.0,63,48,15,1,1,,2016,defense
Eric Reid,SFO,25,FS,10,10,1,13,0,13,5,1,0,0,0,0,0.0,62,48,14,0,5,,2016,defense
Eric Weddle*,BAL,31,SS,16,16,4,92,0,53,13,1,0,0,0,0,1.0,89,48,41,1,1,,2016,defense
James Bradberry,CAR,23,LCB,13,13,2,6,0,5,10,,,,,,0.0,59,47,12,3,0,,2016,defense
Ross Cockrell,PIT,25,RCB,16,16,0,0,0,0,14,0,0,1,0,0,0.0,62,47,15,3,1,,2016,defense
E.J. Gaines,LAR,24,RCB,11,10,0,0,0,0,7,1,0,1,0,0,0.0,56,47,9,0,1,,2016,defense
Micah Hyde,GNB,26,DB,16,11,3,11,0,11,9,0,1,2,0,0,1.0,58,47,11,3,2,,2016,defense
Bruce Irvin,OAK,29,LLB,16,16,0,0,0,0,1,6,0,0,0,0,7.0,57,47,10,9,25,,2016,defense
Edwin Jackson,IND,25,RILB,16,8,,,,,,,,,,,2.0,66,47,19,1,2,,2016,defense
Malcolm Jenkins,PHI,29,SS,16,16,3,98,2,64,9,0,0,1,0,0,1.0,72,47,25,3,3,,2016,defense
Trumaine Johnson,LAR,26,LCB,14,14,1,0,0,0,11,0,0,1,0,0,0.0,57,47,10,3,0,,2016,defense
Blake Martinez,GNB,22,RILB,13,9,1,4,0,4,4,,,,,,1.0,69,47,22,4,1,,2016,defense
Corey Nelson,DEN,24,rilb,16,5,0,0,0,0,5,0,0,1,0,0,0.0,68,47,21,2,2,,2016,defense
Keith Tandy,TAM,27,ss,16,5,4,28,0,28,9,0,0,1,0,0,0.0,58,47,11,2,0,,2016,defense
Jaquiski Tartt,SFO,24,fs,15,6,0,0,0,0,3,,,,,,1.0,61,47,14,4,3,,2016,defense
Melvin Ingram,SDG,27,LOLB,16,16,0,0,0,0,5,5,0,0,0,0,8.0,60,46,14,10,19,,2016,defense
Jamar Taylor,CLE,26,RCB,15,14,3,43,0,29,13,,,,,,0.0,57,46,11,0,1,,2016,defense
Olivier Vernon,NYG,26,RDE,16,16,,,,,,1,0,1,0,0,8.5,64,46,18,17,23,,2016,defense
Kevin Byard,TEN,23,fs,16,7,0,0,0,0,4,,,,,,1.0,59,45,14,5,5,,2016,defense
Darron Lee,NYJ,22,LILB,13,9,0,0,0,0,3,,,,,,1.0,73,45,28,3,3,,2016,defense
Tony Lippett,MIA,24,RCB,16,13,4,0,0,0,10,,,,,,0.0,67,45,22,1,0,,2016,defense
Patrick Peterson*,ARI,26,LCB,16,16,3,27,0,25,6,0,1,1,0,0,0.0,51,45,6,1,0,,2016,defense
Tracy Porter,CHI,30,LCB,16,15,2,28,0,25,9,1,0,0,0,0,0.0,48,45,3,0,0,,2016,defense
Andrew Sendejo,MIN,29,SS,14,14,2,18,0,16,4,0,1,2,5,0,0.5,69,45,24,0,1,,2016,defense
Janoris Jenkins*,NYG,28,RCB,15,15,3,26,0,23,18,1,1,0,0,0,1.0,49,44,5,5,1,,2016,defense
Karl Joseph,OAK,23,SS,12,9,1,21,0,21,6,0,0,1,0,0,0.0,60,44,16,1,0,,2016,defense
Sterling Moore,NOR,26,RCB,13,12,2,8,0,8,13,,,,,,0.0,56,44,12,1,0,,2016,defense
Xavier Rhodes*,MIN,26,RCB,14,14,5,133,1,100,11,1,0,0,0,0,0.0,52,44,8,2,0,,2016,defense
Michael Wilhoite,SFO,30,rilb,16,6,0,0,0,0,2,1,0,1,0,0,0.5,55,44,11,1,1,,2016,defense
,,,,,,,,,,,,,,,,,,,,,,,2016,defense
Shareece Wright,BAL,29,lcb,12,9,0,0,0,0,6,0,0,1,0,0,0.0,52,44,8,4,0,,2016,defense
Tavon Young,BAL,22,LCB,16,11,2,22,0,16,8,0,0,1,0,0,0.0,53,44,9,2,1,,2016,defense
Jahleel Addae,SDG,26,SS,8,8,1,90,1,90,4,,,,,,0.0,50,43,7,3,0,,2016,defense
DeForest Buckner,SFO,22,LDE,15,15,0,0,0,0,1,0,0,2,0,0,6.0,73,43,30,7,18,,2016,defense
Byron Maxwell,MIA,28,LCB,13,13,2,29,0,27,15,4,0,0,0,0,0.0,53,43,10,1,0,,2016,defense
Brian Poole,ATL,24,db,16,9,1,24,0,24,9,0,0,2,10,0,1.0,59,43,16,5,3,,2016,defense
Darrelle Revis,NYJ,31,RCB,15,15,1,51,0,51,5,,,,,,0.0,53,43,10,1,0,,2016,defense
Darius Slay,DET,25,LCB,13,13,2,24,0,13,13,1,0,0,0,0,1.0,44,43,1,1,1,,2016,defense
Michael Thomas,MIA,26,fs,16,8,0,0,0,0,1,2,0,1,27,0,1.0,58,43,15,3,3,,2016,defense
Jimmie Ward,SFO,25,RCB,11,10,1,8,0,8,12,1,0,1,0,0,1.0,53,43,10,2,1,,2016,defense
Phillip Gaines,KAN,25,rcb,11,5,1,0,0,0,7,2,0,0,0,0,0.0,44,42,2,1,0,,2016,defense
William Gay,PIT,31,LCB,16,9,1,0,0,0,7,1,0,0,0,0,1.0,58,42,16,3,0,,2016,defense
Stephon Gilmore*,BUF,26,RCB,15,15,5,135,0,49,12,,,,,,0.0,48,42,6,0,0,,2016,defense
Spencer Paysinger,MIA,28,,15,3,0,0,0,0,3,0,0,2,0,0,0.0,59,42,17,0,2,,2016,defense
Daimion Stafford,TEN,25,s,15,6,1,4,0,4,2,0,0,1,0,0,1.0,52,42,10,2,2,,2016,defense
Trae Waynes,MIN,24,db,15,8,3,4,0,4,11,,,,,,0.0,50,42,8,1,0,,2016,defense
